z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,sw_lints,866,ETHUSDT,-10.85486902967051,-4.8875675437375365,-6.2739447744405545,-6.2739447744405545,2000,1060,0.53,404,202,202,0.2435,0.188,0.0555,0.2435,0.188,0.0555,0.404,0.596,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,866,SOLUSDT,-5.810925780697785,2.092119084066124,-7.741092001681615,-7.741092001681615,2000,1063,0.5315,367,184,183,0.227,0.184,0.043,0.227,0.184,0.043,0.366,0.634,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,966,BTCUSDT,-4.749164311639065,-0.4186649332328374,-4.34870588499614,-4.34870588499614,2000,1162,0.581,374,187,187,0.1945,0.153,0.0415,0.1945,0.153,0.0415,0.3735,0.6265,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,966,ETHUSDT,-10.300166665728428,-1.5331043473754247,-8.903563233354884,-8.903563233354884,2000,1073,0.5365,413,207,206,0.2595,0.21,0.0495,0.2595,0.21,0.0495,0.4125,0.5875,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,966,SOLUSDT,-12.423370402301014,-1.9432580567184887,-10.687803957064457,-10.687803957064457,2000,1049,0.5245,375,188,187,0.2135,0.1665,0.047,0.2135,0.1665,0.047,0.3755,0.6245,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1066,BTCUSDT,-5.21873676897714,-0.7651769066922998,-4.48790023850526,-4.48790023850526,2000,1158,0.579,372,186,186,0.1975,0.1555,0.042,0.1975,0.1555,0.042,0.372,0.628,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1066,ETHUSDT,-14.730050960039055,-2.6631967276703805,-12.397011024296678,-12.397011024296678,2000,1111,0.5555,400,200,200,0.25,0.2015,0.0485,0.25,0.2015,0.0485,0.4,0.6,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1066,SOLUSDT,-9.97977433747792,-0.3280570055349874,-9.683484681821552,-9.683484681821552,2000,1072,0.536,357,179,178,0.1915,0.1515,0.04,0.1915,0.1515,0.04,0.3575,0.6425,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1166,BTCUSDT,-8.493359963960112,-2.4567144569094257,-6.188683796573525,-6.188683796573525,2000,1157,0.5785,394,197,197,0.1955,0.1485,0.047,0.1955,0.1485,0.047,0.394,0.606,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1166,ETHUSDT,-14.743926526568796,-5.840442697425829,-9.455740961623615,-9.455740961623615,2000,1087,0.5435,432,216,216,0.2585,0.2065,0.052,0.2585,0.2065,0.052,0.432,0.568,1.0,0.995
