z_window,set_name,algorithm,seed,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_val_full,mean_symbol_val_h1,mean_symbol_val_h2,median_symbol_val_full,median_symbol_val_h1,median_symbol_val_h2,median_symbol_per_symbol_min_half,median_exposure_bars_val,median_exposure_ratio_val,median_n_trade_events_val,mean_constraint_applied_ratio,mean_min_hold_ratio,mean_cooldown_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,2866,-6.296491139603544,0.5,-7.251959802444207,-10.400243883203194,-3.4300851510815558,-7.251959802444207,-10.359377409233716,-3.2947840454784383,-7.30528678729967,-7.30528678729967,1133.0,0.5665,379.0,0.20316666666666663,0.15716666666666668,0.046000000000000006,0.20316666666666663,0.15716666666666668,0.046000000000000006,0.39166666666666666,0.6083333333333334,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,2966,-4.795959654325605,0.5,-6.743958409587713,-5.795454089428335,1.0480366114607194,-6.743958409587713,-6.414920189785267,0.7459071829122754,-7.107809709526447,-7.107809709526447,1103.0,0.5515,381.0,0.19283333333333333,0.15033333333333332,0.0425,0.19283333333333333,0.15033333333333332,0.0425,0.37733333333333335,0.6226666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,3066,-3.8833675289113185,0.5,-4.484637517583157,-6.532676109450748,-2.0795575628958027,-4.484637517583157,-6.606790375026927,-2.21818520814816,-2.830151941383774,-5.468689861082354,1116.0,0.558,379.0,0.19716666666666668,0.15433333333333332,0.042833333333333334,0.19716666666666668,0.15433333333333332,0.042833333333333334,0.38133333333333336,0.6186666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_linucb,166,-5.262623573553276,0.5,-6.412336741729895,-8.098511802721653,-1.8134840690234153,-6.412336741729895,-5.901749021652858,-2.111648902356189,-5.085395772311374,-5.085395772311374,1088.0,0.544,345.0,0.18133333333333335,0.1406666666666667,0.04066666666666666,0.18133333333333335,0.1406666666666667,0.04066666666666666,0.32749999999999996,0.6725,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,166,-5.286690201954871,0.5,-6.554525517491077,-7.9395773284118105,-1.483184255346252,-6.554525517491077,-8.71800704214304,-0.577120080652771,-7.6349108440930795,-7.6349108440930795,1098.0,0.549,368.0,0.2181666666666667,0.17266666666666666,0.045500000000000006,0.2181666666666667,0.17266666666666666,0.045500000000000006,0.38566666666666666,0.6143333333333333,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,266,-3.7683742037574106,0.5,-4.738936084313354,-5.603644765162379,-0.8566885620895803,-4.738936084313354,-6.216826917100593,-1.2396190145161468,-3.2770644286403083,-3.2770644286403083,1107.0,0.5535,378.0,0.20516666666666664,0.16316666666666668,0.042,0.20516666666666664,0.16316666666666668,0.042,0.37233333333333335,0.6276666666666667,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,366,-5.830000172741098,0.5,-7.388112922908722,-8.454098932594038,-1.1556619222382232,-7.388112922908722,-9.41465608612363,-0.7331906280653611,-8.901379598951987,-8.901379598951987,1070.0,0.535,389.0,0.221,0.17433333333333334,0.04666666666666667,0.221,0.17433333333333334,0.04666666666666667,0.3858333333333333,0.6141666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,466,-5.628265809557114,0.5,-7.119173002494912,-8.221501785081399,-1.1555442307437176,-7.119173002494912,-9.482122693834082,-0.6477917751583129,-6.092398710362945,-6.092398710362945,1054.0,0.527,370.0,0.21983333333333333,0.17133333333333334,0.048499999999999995,0.21983333333333333,0.17133333333333334,0.048499999999999995,0.37516666666666665,0.6248333333333334,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,566,-6.719659984294978,0.5,-8.539994940687352,-9.750415566287959,-1.2586551151178569,-8.539994940687352,-9.582599119032265,0.07305060982087941,-7.637367999322553,-7.637367999322553,1108.0,0.554,380.0,0.20950000000000002,0.166,0.043500000000000004,0.20950000000000002,0.166,0.043500000000000004,0.3743333333333334,0.6256666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,666,-6.572965912110792,0.5,-8.066842088363012,-9.976573867692794,-2.091337383354134,-8.066842088363012,-10.65048368898066,-1.4133361864900995,-10.078653314919483,-10.078653314919483,1099.0,0.5495,374.0,0.21933333333333335,0.17500000000000002,0.044333333333333336,0.21933333333333335,0.17500000000000002,0.044333333333333336,0.3773333333333333,0.6226666666666666,1.0,0.995
