feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
vol_ratio_72_log1p_z,33984,15,0.0005296610169491789,0.4947033898305085,0.49415635115505346,8.174791098706289e-05,0.0005470386754550249,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,33.0,1,exit_hold
volatility_168_sqrt_z,33984,15,0.00047080979284369606,0.494644538606403,0.49417650904395843,7.790200744519812e-05,0.00046802956244457183,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,34.0,1,exit_hold
dist_ema_100_z,33984,15,0.00023540489642182028,0.49440913370998113,0.49416666303193996,7.384132674901023e-05,0.0002424706780411734,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,35.0,1,exit_hold
log_ret_72_z,33984,15,0.00023540489642176476,0.4944091337099811,0.4941889068775481,7.908678555198374e-05,0.00022022683243300145,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,36.0,1,exit_hold
range_sqrt_z,33984,15,0.00011770244821091014,0.4942914312617702,0.4941813859368878,7.491803430397258e-05,0.00011004532488240182,0.1,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,37.0,1,exit_hold
dist_ema_9_z,33984,15,0.00011770244821102116,0.49429143126177033,0.49421304090881435,0.0002884962776258998,7.839035295598151e-05,0.06666666666666667,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,38.0,1,exit_hold
ema_slope_100_z,33984,15,5.88512241053718e-05,0.4942325800376647,0.4941867666594886,5.5631369892812767e-05,4.58133781761072e-05,0.23333333333333334,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,39.0,1,exit_hold
dist_ema_21_z,33984,15,0.0,0.4941737288135593,0.4941465045175969,7.092333126445348e-05,2.7224295962413603e-05,0.36666666666666664,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,40.0,1,exit_hold
ret_accel_72_168_z,33984,15,-1.1102230246251565e-16,0.4941737288135592,0.4941479906540803,9.957013801422941e-05,2.5738159478871925e-05,0.36666666666666664,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,41.0,1,exit_hold
MOM_pct_30_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.49415220189682824,9.169140396455694e-05,2.1526916731018364e-05,0.4,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,42.0,1,exit_hold
