feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,in_top_7,in_top_14,in_top_20,in_top_26
ret_accel_72_168_z,33.0,0.0033078425401874556,0.0,33840,15,2256,1128,ok,7.0,0.0053568308745720605,0.0,33840,15,2256,1128,ok,7.0,20.0,0.0053568308745720605,0.0,1,exit,12,False,True,True,True
ema_spread_50_100_z,45.0,0.0017469462645473,0.0,33840,15,2256,1128,ok,8.0,0.004949258069183837,0.0,33840,15,2256,1128,ok,8.0,26.5,0.004949258069183837,0.0,1,exit,13,False,True,True,True
RSI_30_bounded,9.0,0.00881327890990502,0.0,33840,15,2256,1128,ok,26.0,0.0018908301503079428,0.0,33840,15,2256,1128,ok,9.0,17.5,0.00881327890990502,0.0,1,entry,14,False,True,True,True
log_ret_24_z,10.0,0.007342163534193702,0.0,33840,15,2256,1128,ok,18.0,0.0028100805156325293,0.0,33840,15,2256,1128,ok,10.0,14.0,0.007342163534193702,0.0,1,entry,15,False,False,True,True
dist_ema_50_z,11.0,0.007025278628847387,0.0,33840,15,2256,1128,ok,35.0,0.0005652053652090427,0.0,33840,15,2256,1128,ok,11.0,23.0,0.007025278628847387,0.0,1,entry,16,False,False,True,True
ema_slope_200_z,32.0,0.0033254018510673333,0.0,33840,15,2256,1128,ok,11.0,0.004279501802744112,0.0,33840,15,2256,1128,ok,11.0,21.5,0.004279501802744112,0.0,1,exit,17,False,False,True,True
dist_to_low_24_sqrt_z,12.0,0.00625665755781013,0.0,33840,15,2256,1128,ok,14.0,0.003303043392841598,0.0,33840,15,2256,1128,ok,12.0,13.0,0.00625665755781013,0.0,2,entry,18,False,False,True,True
price_pos_in_range_72_norm,46.0,0.001624307760498267,0.0,33840,15,2256,1128,ok,12.0,0.004264015878545135,0.0,33840,15,2256,1128,ok,12.0,29.0,0.004264015878545135,0.0,1,exit,19,False,False,True,True
ret_accel_6_24_z,13.0,0.0060110519553333575,0.0,33840,15,2256,1128,ok,23.0,0.0021726221996887785,0.0,33840,15,2256,1128,ok,13.0,18.0,0.0060110519553333575,0.0,1,entry,20,False,False,True,True
dist_ema_100_z,14.0,0.005939988043041633,0.0,33840,15,2256,1128,ok,25.0,0.002020683982073279,0.0,33840,15,2256,1128,ok,14.0,19.5,0.005939988043041633,0.0,1,entry,21,False,False,False,True
range_sqrt_z,15.0,0.0058743607401933184,0.0,33840,15,2256,1128,ok,50.0,-1.285695725739e-05,0.5333333333333333,33840,15,2256,1128,ok,15.0,32.5,0.0058743607401933184,0.0,0,entry,22,False,False,False,True
dist_ema_200_z,16.0,0.005865922922705935,0.0,33840,15,2256,1128,ok,19.0,0.0027219564907704497,0.0,33840,15,2256,1128,ok,16.0,17.5,0.005865922922705935,0.0,0,entry,23,False,False,False,True
bb_pos_20_norm,21.0,0.00450409286056741,0.0,33840,15,2256,1128,ok,16.0,0.003024875316585629,0.0,33840,15,2256,1128,ok,16.0,18.5,0.00450409286056741,0.0,0,exit,24,False,False,False,True
MOM_pct_14_z,17.0,0.00583775265487263,0.0,33840,15,2256,1128,ok,24.0,0.0021276353949030713,0.0,33840,15,2256,1128,ok,17.0,20.5,0.00583775265487263,0.0,0,entry,25,False,False,False,True
price_pos_in_range_168_norm,27.0,0.0037208155259782494,0.0,33840,15,2256,1128,ok,17.0,0.003012432534162446,0.0,33840,15,2256,1128,ok,17.0,22.0,0.0037208155259782494,0.0,0,exit,26,False,False,False,True
dist_to_high_168_sqrt_z,18.0,0.005605606156994569,0.0,33840,15,2256,1128,ok,28.0,0.0013551099935613098,0.0,33840,15,2256,1128,ok,18.0,23.0,0.005605606156994569,0.0,0,entry,27,False,False,False,False
log_ret_72_z,19.0,0.005246389514846683,0.0,33840,15,2256,1128,ok,42.0,1.9790340995806677e-05,0.3,33840,15,2256,1128,ok,19.0,30.5,0.005246389514846683,0.0,0,entry,28,False,False,False,False
ema_slope_100_z,20.0,0.005162176061337731,0.0,33840,15,2256,1128,ok,40.0,0.0001553797959488179,0.03333333333333333,33840,15,2256,1128,ok,20.0,30.0,0.005162176061337731,0.0,0,entry,29,False,False,False,False
ema_spread_21_50_z,39.0,0.0025543046852621876,0.0,33840,15,2256,1128,ok,20.0,0.0026671533490745247,0.0,33840,15,2256,1128,ok,20.0,29.5,0.0026671533490745247,0.0,0,exit,30,False,False,False,False
ADX_14_scaled,31.0,0.0034162788388709675,0.0,33840,15,2256,1128,ok,21.0,0.0025209312290321306,0.0,33840,15,2256,1128,ok,21.0,26.0,0.0034162788388709675,0.0,0,exit,31,False,False,False,False
vol_expansion_72_log1p_z,22.0,0.004385281267600516,0.0,33840,15,2256,1128,ok,41.0,2.4904283933480098e-05,0.3333333333333333,33840,15,2256,1128,ok,22.0,31.5,0.004385281267600516,0.0,0,entry,32,False,False,False,False
dist_to_high_72_sqrt_z,47.0,0.001002977896261581,0.0,33840,15,2256,1128,ok,22.0,0.002246795236483523,0.0,33840,15,2256,1128,ok,22.0,34.5,0.002246795236483523,0.0,0,exit,33,False,False,False,False
vol_expansion_168_log1p_z,23.0,0.004269444408649514,0.0,33840,15,2256,1128,ok,44.0,1.0530748272952195e-05,0.4666666666666667,33840,15,2256,1128,ok,23.0,33.5,0.004269444408649514,0.0,0,entry,34,False,False,False,False
MOM_pct_72_z,24.0,0.004176481696186896,0.0,33840,15,2256,1128,ok,49.0,-8.888316546551422e-06,0.4666666666666667,33840,15,2256,1128,ok,24.0,36.5,0.004176481696186896,0.0,0,entry,35,False,False,False,False
ema_slope_9_z,25.0,0.004036476214707818,0.0,33840,15,2256,1128,ok,52.0,-1.9599542208204035e-05,0.4666666666666667,33840,15,2256,1128,ok,25.0,38.5,0.004036476214707818,0.0,0,entry,36,False,False,False,False
MACD_hist_pct_z,26.0,0.003936308327115667,0.0,33840,15,2256,1128,ok,38.0,0.0003072274263675179,0.0,33840,15,2256,1128,ok,26.0,32.0,0.003936308327115667,0.0,0,entry,37,False,False,False,False
log_ret_6_z,54.0,0.00010101843091037122,0.16666666666666666,33840,15,2256,1128,ok,27.0,0.001406166897361838,0.0,33840,15,2256,1128,ok,27.0,40.5,0.001406166897361838,0.0,0,exit,38,False,False,False,False
body_sqrt_z,28.0,0.0036758699304769715,0.0,33840,15,2256,1128,ok,33.0,0.0007648969165504615,0.0,33840,15,2256,1128,ok,28.0,30.5,0.0036758699304769715,0.0,0,entry,39,False,False,False,False
dist_to_low_72_sqrt_z,52.0,0.00025819793711800987,0.0,33840,15,2256,1128,ok,30.0,0.0012261340339808635,0.0,33840,15,2256,1128,ok,30.0,41.0,0.0012261340339808635,0.0,0,exit,40,False,False,False,False
vol_ratio_24_log1p_z,44.0,0.001754431187954375,0.0,33840,15,2256,1128,ok,31.0,0.0011072142057682588,0.0,33840,15,2256,1128,ok,31.0,37.5,0.001754431187954375,0.0,0,exit,41,False,False,False,False
dist_ema_9_z,37.0,0.0028225392464386045,0.0,33840,15,2256,1128,ok,32.0,0.0010035435144372662,0.0,33840,15,2256,1128,ok,32.0,34.5,0.0028225392464386045,0.0,0,exit,42,False,False,False,False
ema_slope_50_z,34.0,0.003260998305855578,0.0,33840,15,2256,1128,ok,39.0,0.00016924879889262945,0.06666666666666667,33840,15,2256,1128,ok,34.0,36.5,0.003260998305855578,0.0,0,entry,43,False,False,False,False
vol_ratio_168_log1p_z,36.0,0.0028816340967777743,0.0,33840,15,2256,1128,ok,34.0,0.0006438539220272599,0.0,33840,15,2256,1128,ok,34.0,35.0,0.0028816340967777743,0.0,0,exit,44,False,False,False,False
ema_slope_21_z,35.0,0.0032059925197328587,0.0,33840,15,2256,1128,ok,48.0,2.6966547718165756e-06,0.5,33840,15,2256,1128,ok,35.0,41.5,0.0032059925197328587,0.0,0,entry,45,False,False,False,False
ema_spread_9_21_z,41.0,0.0022869616423325523,0.0,33840,15,2256,1128,ok,36.0,0.00047896578503509035,0.0,33840,15,2256,1128,ok,36.0,38.5,0.0022869616423325523,0.0,0,exit,46,False,False,False,False
vol_ratio_72_log1p_z,40.0,0.0023612957427978642,0.0,33840,15,2256,1128,ok,37.0,0.0003205838098790381,0.0,33840,15,2256,1128,ok,37.0,38.5,0.0023612957427978642,0.0,0,exit,47,False,False,False,False
dist_to_high_24_sqrt_z,38.0,0.00267903101425615,0.0,33840,15,2256,1128,ok,46.0,5.253190271892194e-06,0.43333333333333335,33840,15,2256,1128,ok,38.0,42.0,0.00267903101425615,0.0,0,entry,48,False,False,False,False
price_pos_in_range_24_norm,42.0,0.0019421779156688634,0.0,33840,15,2256,1128,ok,51.0,-1.574780436941481e-05,0.6333333333333333,33840,15,2256,1128,ok,42.0,46.5,0.0019421779156688634,0.0,0,entry,49,False,False,False,False
dist_ema_21_z,43.0,0.0018484377531678975,0.0,33840,15,2256,1128,ok,54.0,-2.508405323209395e-05,0.6,33840,15,2256,1128,ok,43.0,48.5,0.0018484377531678975,0.0,0,entry,50,False,False,False,False
vol_expansion_24_log1p_z,51.0,0.00042364929007143726,0.03333333333333333,33840,15,2256,1128,ok,43.0,1.387074606723493e-05,0.36666666666666664,33840,15,2256,1128,ok,43.0,47.0,0.00042364929007143726,0.03333333333333333,0,exit,51,False,False,False,False
log_ret_168_z,50.0,0.0005094661860203242,0.03333333333333333,33840,15,2256,1128,ok,45.0,8.585746121114735e-06,0.36666666666666664,33840,15,2256,1128,ok,45.0,47.5,0.0005094661860203242,0.03333333333333333,0,exit,52,False,False,False,False
MOM_pct_30_z,49.0,0.0005996680892317308,0.03333333333333333,33840,15,2256,1128,ok,47.0,4.869505569382593e-06,0.5666666666666667,33840,15,2256,1128,ok,47.0,48.0,0.0005996680892317308,0.03333333333333333,0,exit,53,False,False,False,False
dist_to_low_168_sqrt_z,48.0,0.0008367974612001339,0.0,33840,15,2256,1128,ok,53.0,-2.235031787700681e-05,0.6,33840,15,2256,1128,ok,48.0,50.5,0.0008367974612001339,0.0,0,entry,54,False,False,False,False
