feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
NATR_14_z,33984,15,0.004119585687382354,0.5089453860640302,0.5048643981061306,0.00017213716748333015,0.004080987957899573,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,20.0,0,entry
body_sqrt_z,33984,15,0.0039430320150659615,0.5087688323917138,0.5048745754150725,0.0001507929640694352,0.0038942569766412527,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,21.0,0,entry
ADX_14_scaled,33984,15,0.003648775894538492,0.5084745762711863,0.5048541647948253,0.00013597568315573943,0.0036204114763610518,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,22.0,0,entry
MOM_pct_30_z,33984,15,0.003531073446327637,0.5083568738229755,0.5048759081384376,0.00013058901518208326,0.003480965684537818,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,23.0,0,entry
dist_ema_100_z,33984,15,0.0034133709981167826,0.5082391713747646,0.5048844491670511,0.00026839897239404684,0.0033547222077134897,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,24.0,0,entry
dist_ema_200_z,33984,15,0.0034133709981167826,0.5082391713747646,0.5049750597528481,0.00042538261320443696,0.0032641116219165323,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,25.0,0,entry
ema_slope_200_z,33984,15,0.003295668549905817,0.5081214689265536,0.5049393718840368,0.00030852175980007623,0.0031820970425168182,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,26.0,0,entry
price_pos_in_range_168_norm,33984,15,0.003119114877589424,0.5079449152542372,0.5048178800997624,7.409396458020215e-05,0.0031270351544748776,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,27.0,0,entry
vol_expansion_72_log1p_z,33984,15,0.003119114877589313,0.5079449152542371,0.5048733869328538,0.00016073549933555984,0.0030715283213833544,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,28.0,0,entry
dist_to_low_24_sqrt_z,33984,15,0.0030014124293785693,0.5078272128060264,0.5048581081546019,0.00014613784525100793,0.0029691046514245256,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,29.0,0,entry
