z_window,set_name,algorithm,seed,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_val_full,mean_symbol_val_h1,mean_symbol_val_h2,median_symbol_val_full,median_symbol_val_h1,median_symbol_val_h2,median_symbol_per_symbol_min_half,median_exposure_bars_val,median_exposure_ratio_val,median_n_trade_events_val,mean_constraint_applied_ratio,mean_min_hold_ratio,mean_cooldown_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,sw_lints,1066,-6.203580376361015,0.5,-7.661746721807226,-9.362357847885546,-1.8290813400223798,-7.661746721807226,-9.834748747027755,-1.9358777033363417,-8.054802162809093,-8.054802162809093,1134.0,0.567,436.0,0.43933333333333335,0.32949999999999996,0.10983333333333334,0.0,0.0,0.0,0.43933333333333335,0.5606666666666666,0.5606666666666666,0.5583333333333332
24,z24_a0p5_corr_pruned_top10,sw_lints,1166,-7.862808335737181,0.5,-9.925496394513134,-11.423353576136995,-1.6747441594093215,-9.925496394513134,-13.963290120547711,-0.142452366597412,-10.857604164195056,-10.857604164195056,1138.0,0.569,383.0,0.38966666666666666,0.2925,0.09716666666666667,0.0,0.0,0.0,0.38966666666666666,0.6103333333333334,0.6103333333333334,0.6075
24,z24_a0p5_corr_pruned_top10,sw_lints,1266,-3.875689547133954,0.5,-4.469737360575681,-6.47624201742905,-2.0935461068087746,-4.469737360575681,-6.535636915270304,-1.9699507365156466,-3.707765087833992,-3.707765087833992,1125.0,0.5625,398.0,0.4055,0.30433333333333334,0.10116666666666667,0.0,0.0,0.0,0.4055,0.5944999999999999,0.5944999999999999,0.5926666666666667
24,z24_a0p5_corr_pruned_top10,sw_lints,1366,-4.869885501235614,0.5,-6.220082177969892,-6.991903841618396,-0.8192954710327808,-6.220082177969892,-7.505786661673886,0.205287648765351,-5.693428674099876,-5.693428674099876,1152.0,0.576,391.0,0.39666666666666667,0.2976666666666667,0.09900000000000002,0.0,0.0,0.0,0.39666666666666667,0.6033333333333334,0.6033333333333334,0.601
24,z24_a0p5_corr_pruned_top10,sw_lints,1466,-6.741649312100861,0.5,-8.109423882502876,-10.47625860533372,-2.638325600894816,-8.109423882502876,-7.787624489917288,-1.9821091706786809,-7.06710919230874,-7.06710919230874,1165.0,0.5825,387.0,0.39549999999999996,0.29683333333333334,0.09866666666666668,0.0,0.0,0.0,0.39549999999999996,0.6045,0.6045,0.6016666666666666
24,z24_a0p5_corr_pruned_top10,sw_lints,1566,-4.406615514355451,0.5,-6.041894492564803,-5.583985508841605,0.49922142027260347,-6.041894492564803,-6.15104408420869,0.019279105373026795,-6.387974958141863,-6.387974958141863,1081.0,0.5405,392.0,0.3865,0.29000000000000004,0.09649999999999999,0.0,0.0,0.0,0.3865,0.6135,0.6135,0.6113333333333334
24,z24_a0p5_corr_pruned_top10,sw_lints,1666,-5.668430366862097,0.5,-7.037458490340427,-8.488243398848482,-1.5613459964271066,-7.037458490340427,-9.159711114598279,-1.3206911739021,-7.254545003195467,-7.254545003195467,1157.0,0.5785,368.0,0.37366666666666665,0.2805,0.09316666666666668,0.0,0.0,0.0,0.37366666666666665,0.6263333333333333,0.6263333333333333,0.6236666666666666
24,z24_a0p5_corr_pruned_top10,sw_lints,1766,-6.36329188798263,0.5,-7.760445103561646,-9.737984100455398,-2.1718322412455784,-7.760445103561646,-10.974488669846071,-1.9917168479939407,-9.16531902504637,-9.16531902504637,1178.0,0.589,401.0,0.4005,0.30066666666666664,0.09983333333333333,0.0,0.0,0.0,0.4005,0.5995,0.5995,0.597
24,z24_a0p5_corr_pruned_top10,sw_lints,1866,-6.909422080427734,0.5,-8.491172686146447,-10.482928292516428,-2.1641702632715956,-8.491172686146447,-9.918150085043266,-3.0274393045851555,-9.175657341439047,-9.175657341439047,1098.0,0.549,388.0,0.4036666666666667,0.303,0.10066666666666668,0.0,0.0,0.0,0.4036666666666667,0.5963333333333334,0.5963333333333334,0.5943333333333334
24,z24_a0p5_corr_pruned_top10,sw_lints,1966,-5.683227071247016,0.5,-6.497241121353717,-9.539144364984837,-3.2411849209269135,-6.497241121353717,-10.26832648634417,-3.5320114338004083,-6.9829537784143465,-6.9829537784143465,1144.0,0.572,407.0,0.40149999999999997,0.30133333333333334,0.10016666666666667,0.0,0.0,0.0,0.40149999999999997,0.5985,0.5985,0.5958333333333333
24,z24_a0p5_corr_pruned_top10,sw_lints,2066,-2.7489447117537904,0.5,-3.9590048891657807,-3.116340563635704,0.881235820482181,-3.9590048891657807,-4.516859004368035,1.3052876515491585,-4.441911272143761,-4.441911272143761,1147.0,0.5735,392.0,0.371,0.27849999999999997,0.09249999999999999,0.0,0.0,0.0,0.371,0.629,0.629,0.6265000000000001
24,z24_a0p5_corr_pruned_top10,sw_lints,2166,-5.3140729595779845,0.5,-6.345136555149677,-8.362780483697906,-2.220882172862907,-6.345136555149677,-12.134713695925658,-2.595585229187891,-6.8809233210434755,-6.8809233210434755,1130.0,0.565,409.0,0.4111666666666667,0.3085,0.10266666666666667,0.0,0.0,0.0,0.4111666666666667,0.5888333333333332,0.5888333333333332,0.5866666666666667
24,z24_a0p5_corr_pruned_top10,sw_lints,2266,-4.803343984966189,0.5,-6.045499440929391,-7.0801915699181235,-1.0768776170765844,-6.045499440929391,-7.50008884748431,-1.2461731028009293,-4.979938608126777,-4.979938608126777,1117.0,0.5585,376.0,0.3865,0.29,0.09649999999999999,0.0,0.0,0.0,0.3865,0.6135,0.6135,0.6115
24,z24_a0p5_corr_pruned_top10,sw_lints,2366,-5.242135454335282,0.5,-7.051629033912083,-6.940112582142599,0.18634528439512113,-7.051629033912083,-7.077433031876568,-0.33828572776556376,-5.736925774846668,-5.736925774846668,1128.0,0.564,411.0,0.3996666666666666,0.3,0.09966666666666667,0.0,0.0,0.0,0.3996666666666666,0.6003333333333333,0.6003333333333333,0.5985
24,z24_a0p5_corr_pruned_top10,sw_lints,2466,-5.074671808044611,0.5,-5.7679527781874755,-8.606303920829225,-2.9948288976160193,-5.7679527781874755,-7.810852209196472,-2.356084452434093,-5.361092359533592,-5.361092359533592,1138.0,0.569,398.0,0.40199999999999997,0.3016666666666667,0.10033333333333334,0.0,0.0,0.0,0.40199999999999997,0.598,0.598,0.5955
24,z24_a0p5_corr_pruned_top10,sw_lints,2566,-3.9902370354962104,0.5,-4.96664691480125,-5.972996628801245,-1.061007397581093,-4.96664691480125,-7.504214017298693,-0.3410447449074927,-4.54822914495997,-4.54822914495997,1146.0,0.573,406.0,0.4045,0.3036666666666667,0.10083333333333333,0.0,0.0,0.0,0.4045,0.5955,0.5955,0.5935
24,z24_a0p5_corr_pruned_top10,sw_lints,2666,-3.5375549376518785,0.5,-4.229559783931029,-5.676203322552431,-1.461540398814428,-4.229559783931029,-5.7553596150284765,-1.3582500989568147,-4.624001393293797,-4.624001393293797,1132.0,0.566,400.0,0.40116666666666667,0.301,0.10016666666666667,0.0,0.0,0.0,0.40116666666666667,0.5988333333333333,0.5988333333333333,0.5956666666666667
24,z24_a0p5_corr_pruned_top10,sw_lints,2766,-3.026961751457524,0.5,-3.08088353322988,-5.851089560794802,-2.865196406140458,-3.08088353322988,-5.123618007427355,-1.9804270198380047,-3.2066972871076405,-3.2066972871076405,1069.0,0.5345,400.0,0.4126666666666667,0.30950000000000005,0.10316666666666667,0.0,0.0,0.0,0.4126666666666667,0.5873333333333334,0.5873333333333334,0.5838333333333333
