z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2214,BTCUSDT,-9.54405308548505,-4.412240330991102,-5.368692364235594,-5.368692364235594,2000,1035,0.5175,353,177,176,0.352,0.264,0.088,0.0,0.0,0.0,0.352,0.648,0.648,0.645
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2214,ETHUSDT,-7.2208849887394955,-2.3439923480683578,-4.993950457255536,-4.993950457255536,2000,1036,0.518,293,147,146,0.2935,0.2205,0.073,0.0,0.0,0.0,0.2935,0.7065,0.7065,0.7035
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2214,SOLUSDT,-9.745030081184868,-0.42362503148156705,-9.361060846661983,-9.361060846661983,2000,943,0.4715,291,146,145,0.2915,0.219,0.0725,0.0,0.0,0.0,0.2915,0.7085,0.7085,0.7055
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2314,BTCUSDT,-3.1587523770911896,-0.4598329558378911,-2.7113872734972233,-2.7113872734972233,2000,1174,0.587,355,178,177,0.3555,0.267,0.0885,0.0,0.0,0.0,0.3555,0.6445,0.6445,0.643
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2314,ETHUSDT,-8.572664161199517,-4.437680240360042,-4.327002453728479,-4.437680240360042,2000,886,0.443,257,129,128,0.2575,0.1935,0.064,0.0,0.0,0.0,0.2575,0.7425,0.7425,0.7395
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2314,SOLUSDT,-6.632011691164408,1.817853467786712,-8.299001472884616,-8.299001472884616,2000,1022,0.511,356,178,178,0.3555,0.267,0.0885,0.0,0.0,0.0,0.3555,0.6445,0.6445,0.6415
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2414,BTCUSDT,-6.034934769887668,-1.789765093040796,-4.322532861130601,-4.322532861130601,2000,1034,0.517,373,187,186,0.3735,0.2805,0.093,0.0,0.0,0.0,0.3735,0.6265,0.6265,0.625
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2414,ETHUSDT,-7.588643840896292,-0.9138113754320609,-6.736390366930756,-6.736390366930756,2000,913,0.4565,267,134,133,0.2675,0.201,0.0665,0.0,0.0,0.0,0.2675,0.7325,0.7325,0.731
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2414,SOLUSDT,-6.293909432552169,1.5762826580256961,-7.748060752601305,-7.748060752601305,2000,1055,0.5275,295,148,147,0.2955,0.222,0.0735,0.0,0.0,0.0,0.2955,0.7045,0.7045,0.6995
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2514,BTCUSDT,-5.580902798544396,0.25233220223335184,-5.818552918061504,-5.818552918061504,2000,1092,0.546,393,197,196,0.3935,0.2955,0.098,0.0,0.0,0.0,0.3935,0.6065,0.6065,0.6045
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2514,ETHUSDT,-7.539062519191797,-1.7220725750262122,-5.9189180079182275,-5.9189180079182275,2000,863,0.4315,275,138,137,0.2755,0.207,0.0685,0.0,0.0,0.0,0.2755,0.7245,0.7245,0.7215
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2514,SOLUSDT,-5.094052877271471,-2.192181464670795,-2.9669114965001353,-2.9669114965001353,2000,940,0.47,323,162,161,0.3235,0.243,0.0805,0.0,0.0,0.0,0.3235,0.6765,0.6765,0.6715
