z_window,set_name,algorithm,n_seeds,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_q25,dro_minimax_q75,pure_min_half_median,pure_min_half_mean,full_mean_aggregate,h1_mean_aggregate,h2_mean_aggregate,full_median,h1_median,h2_median,per_symbol_minhalf_median,median_exposure_bars,median_exposure_ratio,median_n_trade_events,mean_constraint_applied_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,1,-5.296975508292068,-5.296975508292068,,-5.296975508292068,-5.296975508292068,-6.422751380650734,-6.422751380650734,-8.13423224228779,-1.9196478912160695,-6.422751380650734,-7.159991800231724,-1.8282672394773103,-5.431018085175765,-5.431018085175765,1076.0,0.538,301.0,0.3476666666666666,0.0,0.0,0.0,0.3476666666666666,0.6523333333333333,0.6523333333333333,0.6493333333333333
48,z48_a0p5_corr_pruned_top10,discounted_linucb,1,-5.926966998163879,-5.926966998163879,,-5.926966998163879,-5.926966998163879,-7.158560431307689,-7.158560431307689,-9.156044189608588,-2.232186698732449,-7.158560431307689,-9.093493741947823,-0.678512778328777,-8.472467739873867,-8.472467739873867,1111.0,0.5555,402.0,0.3591666666666667,0.0,0.0,0.0,0.3591666666666667,0.6408333333333333,0.6408333333333333,0.6373333333333334
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-4.53208082123925,-4.643473369342497,0.9316077266934437,-5.400361166857463,-3.9740491513119407,-5.485115733608199,-5.6230286798914175,-7.028409232245181,-1.7993631039280256,-5.485115733608199,-6.73313029861472,-1.9277511252373425,-5.3409075875472,-5.3409075875472,1001.5,0.50075,333.0,0.32565000000000005,0.0,0.0,0.0,0.32565000000000005,0.67435,0.67435,0.6709777777777777
48,z48_a0p5_corr_pruned_top10,sw_lints,30,-4.764873923675696,-4.751257132702607,0.8920327209437976,-5.126100497272628,-4.001686737115496,-5.589146345005611,-5.684470914988262,-7.405810586790823,-2.1428773662026055,-5.589146345005611,-6.913271322879333,-2.097040070617273,-5.4474999422983394,-5.4474999422983394,1089.0,0.5445,400.0,0.4019333333333333,0.0,0.0,0.0,0.4019333333333333,0.5980666666666666,0.5980666666666666,0.5957111111111111
24,z24_a0p5_corr_pruned_top10,sw_lints,30,-5.143023887746866,-5.143436416016914,1.1284421949195242,-5.679527895150786,-4.446776036873037,-6.346536248501968,-6.304201326325772,-7.809936362515316,-1.7284157432057987,-6.346536248501968,-7.50500033948629,-1.7907813014662988,-5.670131312176252,-5.670131312176252,1133.0,0.5665,392.0,0.39529444444444445,0.0,0.0,0.0,0.39529444444444445,0.6047055555555556,0.6047055555555556,0.6022888888888889
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-5.326950050174037,-5.3778943178468355,0.9070081317129843,-5.87225383930909,-5.042119000013442,-6.537372589774012,-6.563666777920398,-8.16888600255707,-1.8827877849161734,-6.537372589774012,-7.725733823740478,-1.7403767098455702,-6.043046448113542,-6.043046448113542,997.0,0.4985,322.0,0.31988888888888883,0.0,0.0,0.0,0.31988888888888883,0.6801111111111111,0.6801111111111111,0.6768
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,30,-5.47319451605748,-5.467479769469486,0.9569495679972644,-6.222309763827089,-4.937082292100271,-6.406959618828909,-6.466788329187656,-8.872543959742488,-2.3409468060025143,-6.406959618828909,-8.297643559009105,-2.476963455897929,-5.901909106036706,-5.901909106036706,956.5,0.47824999999999995,338.5,0.3360722222222222,0.0,0.0,0.0,0.3360722222222222,0.6639277777777778,0.6639277777777778,0.6611277777777779
72,z72_a0p5_corr_pruned_top10,sw_lints,30,-5.752466037085463,-5.806082680844751,0.917166874253125,-6.2414170212431666,-5.083658078950767,-6.715152537477,-6.797249412790864,-9.287626277281653,-2.8005583939858454,-6.715152537477,-9.388156024467374,-3.076315515135769,-6.664126130809811,-6.664126130809811,1074.5,0.53725,394.0,0.3989944444444445,0.0,0.0,0.0,0.3989944444444445,0.6010055555555556,0.6010055555555556,0.5983777777777778
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,1,-4.205368956975946,-4.205368956975946,,-4.205368956975946,-4.205368956975946,-5.929193661056764,-5.929193661056764,-5.0010881640533835,0.9661051552665093,-5.929193661056764,-3.1257952090450125,1.9378639550594157,-5.651441733817664,-5.651441733817664,1075.0,0.5375,217.0,0.23949999999999996,0.0,0.0,0.0,0.23949999999999996,0.7605,0.7605,0.7561666666666667
48,z48_a0p5_corr_pruned_top10,sw_linucb,1,-4.29650281762491,-4.29650281762491,,-4.29650281762491,-4.29650281762491,-5.583395602615575,-5.583395602615575,-6.022379762334033,-0.43582446265291913,-5.583395602615575,-4.961734035863008,-1.4232478613906085,-6.973860174973856,-6.973860174973856,1106.0,0.553,325.0,0.35266666666666663,0.0,0.0,0.0,0.35266666666666663,0.6473333333333332,0.6473333333333332,0.6453333333333333
72,z72_a0p5_corr_pruned_top10,sw_linucb,1,-4.304662831354863,-4.304662831354863,,-4.304662831354863,-4.304662831354863,-4.965836885141495,-4.965836885141495,-7.170586325311746,-2.321140669994966,-4.965836885141495,-8.75627850285613,-1.782867497854057,-5.596111382177527,-5.596111382177527,1092.0,0.546,347.0,0.34299999999999997,0.0,0.0,0.0,0.34299999999999997,0.657,0.657,0.6549999999999999
24,z24_a0p5_corr_pruned_top10,sw_linucb,1,-4.30814470840185,-4.30814470840185,,-4.30814470840185,-4.30814470840185,-5.120323211251843,-5.120323211251843,-6.908636708698109,-1.8716091998518687,-5.120323211251843,-8.751147119032865,-0.4941466396481409,-4.8127395530621175,-5.241557563138855,1119.0,0.5595,379.0,0.3775,0.0,0.0,0.0,0.3775,0.6224999999999999,0.6224999999999999,0.6204999999999999
48,z48_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,1,-4.797183970377609,-4.797183970377609,,-4.797183970377609,-4.797183970377609,-6.466847700573067,-6.466847700573067,-6.262827011717712,0.21180722020876322,-6.466847700573067,-7.0409184332841495,-0.1349029078212438,-6.91534452631476,-6.91534452631476,1030.0,0.515,261.0,0.2588333333333333,0.0,0.0,0.0,0.2588333333333333,0.7411666666666666,0.7411666666666666,0.7361666666666666
24,z24_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,1,-5.431864329350844,-5.431864329350844,,-5.431864329350844,-5.431864329350844,-7.081439677138616,-7.081439677138616,-7.496277014972197,-0.48313828598753145,-7.081439677138616,-7.6931428032352756,-1.6446192854292052,-6.149662045800019,-6.149662045800019,1020.0,0.51,247.0,0.29983333333333334,0.0,0.0,0.0,0.29983333333333334,0.7001666666666667,0.7001666666666667,0.6971666666666666
