seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3144,3,-4.99244672665927,0.5,-6.285255095989579,-1.114021618668341,-6.285255095989579,-7.3185940159805325,-5.810358149596173,7.326557817165624,11.705078614651542,0.6836035065694986,600,186,0.5543333333333332,0.3998333333333333,0.398,0.602,0.602,0.5985,4.0,5.477386934673367,4.0,6.0,0.9296482412060302,0.07035175879396985,8.0,8,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-3.8006384713918413,0.5,-4.579990812377055,-1.4625814484361992,-4.579990812377055,-5.957109358337376,-7.860964114019575,9.45312984003267,9.590670290353787,0.680638959278868,620,200,0.5519999999999999,0.41383333333333333,0.41200000000000003,0.588,0.588,0.585,4.0,5.514563106796117,4.0,6.0,0.9320388349514563,0.06796116504854369,8.0,8,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-4.485245631171884,0.5,-4.793097119154865,-3.561691167222939,-4.793097119154865,-8.188999925192809,-6.282563184194567,8.844952596989842,14.344476946354835,0.6567139921941335,598,199,0.5521666666666668,0.3986666666666667,0.39849999999999997,0.6015,0.6015,0.5985,4.0,5.567839195979899,4.0,6.0,0.89,0.11,8.0,8,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-4.588865747510378,0.5,-5.684266326418137,-1.3026640107871024,-5.684266326418137,-6.914653691480428,-7.36326369210386,10.969542674551258,14.513691671270902,0.6875837064154966,485,137,0.5026666666666667,0.32333333333333336,0.3425,0.6575,0.6575,0.655,4.0,6.3274853801169595,4.0,6.0,0.8248175182481752,0.17518248175182483,9.0,9,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-4.526192272085483,0.5,-5.802936431235754,-0.6959597946346707,-5.802936431235754,-6.478768305697588,-6.5126040030590975,7.935424684492198,11.110621224396155,0.7156147053222925,528,173,0.5153333333333333,0.35200000000000004,0.346,0.654,0.654,0.651,4.0,5.930635838150289,4.0,6.0,0.8786127167630058,0.12138728323699421,8.0,9,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-6.311700479299644,0.5,-7.652076476155812,-2.2905724887311387,-7.652076476155812,-9.805275232899694,-10.377232012043336,12.355456623684125,13.272431735991786,0.5642121234136043,544,171,0.5003333333333334,0.363,0.346,0.654,0.654,0.651,4.0,5.658959537572255,4.0,5.0,0.8959537572254336,0.10404624277456648,8.0,9,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-3.7455419424479435,0.5,-4.5520499621794945,-1.3260178832532905,-4.5520499621794945,-5.843733127162235,-4.628294242540154,9.507089612214903,13.324176585358794,0.7150974926352773,481,139,0.5155,0.32083333333333336,0.3205,0.6795,0.6795,0.677,4.0,6.175,4.0,6.0,0.84375,0.15625,9.0,9,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-5.142312315235582,0.5,-6.622766816957526,-0.7009488100697495,-6.622766816957526,-7.272023678234973,-6.231199164681844,9.067100539938656,11.868576589808043,0.6611714410273762,527,168,0.5173333333333333,0.3515,0.354,0.646,0.646,0.6415,4.0,6.041666666666667,4.0,6.0,0.864406779661017,0.13559322033898305,8.0,9,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.872560918060084,0.5,-4.725978205745517,-1.3123090550037835,-4.725978205745517,-5.972336246901196,-6.759372324495738,9.071053653725825,10.887053325496632,0.6815362167218143,449,128,0.507,0.29950000000000004,0.3045,0.6955,0.6955,0.691,4.0,6.427631578947368,4.0,7.0,0.8092105263157895,0.19078947368421054,9.5,10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-3.1188028315387744,0.5,-4.227178876069067,0.20632530205210534,-4.227178876069067,-4.033103320118566,-3.645990939843391,7.959342516883517,9.413917202296773,0.8044649174919206,443,126,0.5139999999999999,0.29516666666666663,0.274,0.726,0.726,0.721,4.0,7.218978102189781,4.0,8.0,0.7737226277372263,0.22627737226277372,10.0,10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-3.456011707273161,0.5,-4.465507951787144,-0.4275229737312129,-4.465507951787144,-4.869717342284692,-5.328255384463754,9.138598773383222,9.429501595312074,0.7337462727194195,434,128,0.49700000000000005,0.28950000000000004,0.2865,0.7135,0.7135,0.709,4.0,7.062937062937063,4.0,7.25,0.7890625,0.2109375,10.0,10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-4.647766173277337,0.5,-5.624204156470955,-1.7184522236964834,-5.624204156470955,-7.225607861205788,-8.646496572754902,11.731107151468901,11.80534532805032,0.641974810144054,517,124,0.5219999999999999,0.34500000000000003,0.38749999999999996,0.6125,0.6125,0.6105,4.0,5.195876288659794,4.0,5.0,0.914572864321608,0.08542713567839195,7.0,10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-3.91888554303775,0.5,-4.55307791607937,-2.0163084239128897,-4.55307791607937,-6.452977335973979,-5.067896792531257,8.853060385410249,12.940099529965742,0.7634948300461126,465,140,0.5071666666666667,0.31016666666666665,0.3065,0.6935,0.6935,0.689,4.0,6.588235294117647,4.0,7.0,0.8235294117647058,0.17647058823529413,9.0,10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.712200771028641,0.5,-4.627437819041014,-0.9664896269915216,-4.627437819041014,-5.538121049755792,-7.037695664126398,9.274465052997838,10.3758462936817,0.7223977298309062,450,122,0.5145000000000001,0.3,0.3245,0.6755,0.6755,0.673,4.0,6.397590361445783,4.0,6.75,0.8333333333333334,0.16666666666666666,9.0,11,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-3.0884408051906638,0.5,-3.9346309082999777,-0.5498704958627217,-3.9346309082999777,-4.454808169385712,-3.5049146796853003,6.115825821874488,10.54836662597609,0.7403051576874882,478,147,0.492,0.3188333333333333,0.30900000000000005,0.691,0.691,0.687,4.0,6.4935064935064934,4.0,5.0,0.8181818181818182,0.18181818181818182,9.0,11,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-3.8732104682534887,0.5,-4.9501952907167555,-0.6422560008636872,-4.9501952907167555,-5.559364718269692,-6.173296524015082,9.347231368699639,9.991171780733744,0.7255140413956476,463,129,0.5161666666666667,0.3086666666666667,0.3325,0.6675,0.6675,0.663,4.0,6.375,4.0,6.25,0.8253012048192772,0.1746987951807229,9.0,11,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-3.6012149939187017,0.5,-4.284804438535194,-1.5504466600692233,-4.284804438535194,-5.775740098816459,-4.922305790780546,8.485084948035382,10.971015908219627,0.679880056348704,449,134,0.5273333333333333,0.29950000000000004,0.3005,0.6995,0.6995,0.695,4.0,6.8133333333333335,4.0,8.0,0.8,0.2,10.0,11,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-3.458765394841754,0.5,-4.200750312992066,-1.2328106403908172,-4.200750312992066,-5.436489700857247,-5.039500908004479,7.914937815744771,8.068701752643015,0.7002240638377072,489,153,0.5118333333333333,0.326,0.32799999999999996,0.672,0.672,0.669,4.0,6.463414634146342,4.0,6.25,0.8414634146341463,0.15853658536585366,9.0,11,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.2893311317947367,0.5,-3.7680124885287527,-1.85328706159269,-3.7680124885287527,-5.568311474377507,-4.302427947409759,8.467984548724871,11.281280672350679,0.6989406158292093,444,136,0.5118333333333334,0.29650000000000004,0.276,0.724,0.724,0.719,4.0,7.080882352941177,4.0,7.25,0.8308823529411765,0.16911764705882354,10.0,12,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
