z_window,alpha_out,top_k,feature,frequency_top_k,n_appearances,n_subsamples_total,mean_union_rank,median_union_rank,mean_best_rank,mean_best_hie_norm,median_best_hie_norm,median_regime_coverage_topk,median_entry_n_samples,median_entry_n_bins_used,median_entry_min_bin_size_used,median_entry_min_action_count_in_bin,median_exit_n_samples,median_exit_n_bins_used,median_exit_min_bin_size_used,median_exit_min_action_count_in_bin,min_entry_min_bin_size_used,min_exit_min_bin_size_used,min_entry_min_action_count_in_bin,min_exit_min_action_count_in_bin,is_stable_at_pi
24,0.5,14,dist_to_high_24_sqrt_z,0.08,4,50,11.75,11.5,6.75,0.013939364754277983,0.013330362219892561,1.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,dist_to_low_24_sqrt_z,0.08,4,50,11.25,13.0,7.25,0.012522652688468056,0.013938006635786121,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,price_pos_in_range_24_norm,0.04,2,50,13.0,13.0,8.5,0.011684848050797891,0.011684848050797891,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,dist_to_high_72_sqrt_z,0.14,7,50,9.714285714285714,12.0,6.857142857142857,0.013191367500314593,0.012688803658477243,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,dist_to_low_72_sqrt_z,0.02,1,50,12.0,12.0,7.0,0.010809840420551997,0.010809840420551997,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,price_pos_in_range_72_norm,0.52,26,50,7.3076923076923075,8.0,4.961538461538462,0.013231518536338678,0.013107481594870185,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1118.0,1118.0,559.0,559.0,False
24,0.5,14,dist_to_high_168_sqrt_z,0.12,6,50,11.5,12.0,8.0,0.014797955211110278,0.015811148568306982,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,dist_to_low_168_sqrt_z,0.1,5,50,10.4,11.0,7.8,0.014665701842192925,0.014009237615512815,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,price_pos_in_range_168_norm,0.58,29,50,7.517241379310345,7.0,5.206896551724138,0.015160462563569716,0.013984198326019492,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1116.0,1116.0,558.0,558.0,False
24,0.5,20,dist_ema_9_z,0.08,4,50,16.75,16.5,12.5,0.010403143642847792,0.009843784002770084,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_slope_9_z,0.12,6,50,12.666666666666666,14.0,8.833333333333334,0.01194310682536992,0.011162143139011538,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,dist_ema_21_z,0.06,3,50,17.0,17.0,11.333333333333334,0.011118516792533192,0.009295252536184462,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_slope_21_z,0.7,35,50,10.228571428571428,11.0,6.942857142857143,0.014516537030912368,0.014590753569779458,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,dist_ema_50_z,0.04,2,50,15.5,15.5,12.0,0.013192281952646157,0.013192281952646157,0.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_slope_50_z,0.8,40,50,9.375,8.5,6.525,0.015006304427219752,0.015061642148380572,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,dist_ema_100_z,0.18,9,50,13.777777777777779,13.0,9.555555555555555,0.011626533564494286,0.01177951096429286,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_slope_100_z,0.48,24,50,13.166666666666666,15.0,9.333333333333334,0.013478693226710275,0.01326567708434595,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,dist_ema_200_z,0.54,27,50,10.851851851851851,11.0,7.555555555555555,0.011818319657817346,0.01187806984106976,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_slope_200_z,0.42,21,50,11.714285714285714,12.0,8.238095238095237,0.01334493696780896,0.01298653494322094,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_spread_9_21_z,0.78,39,50,9.153846153846153,9.0,6.564102564102564,0.015609720613454016,0.01495893919236857,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,ema_spread_21_50_z,0.44,22,50,13.909090909090908,14.0,9.681818181818182,0.013199448584783852,0.012196029473623887,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ema_spread_50_100_z,0.82,41,50,7.170731707317073,6.0,4.829268292682927,0.014238658817911226,0.014296182025886728,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,ema_spread_100_200_z,0.78,39,50,9.282051282051283,9.0,6.333333333333333,0.015143093304694936,0.01432729987864334,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,MOM_pct_14_z,0.12,6,50,16.833333333333332,17.0,11.833333333333334,0.010199148720016102,0.009384912781609495,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ADX_14_scaled,0.52,26,50,12.538461538461538,12.0,8.653846153846153,0.013076253131525146,0.012262335789765155,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,RSI_14_bounded,0.8,40,50,8.6,8.0,5.975,0.015851904619554286,0.015065605725507747,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,MOM_pct_30_z,0.08,4,50,18.0,18.5,13.25,0.009445677866955451,0.009229812421456984,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ADX_30_scaled,0.94,47,50,6.212765957446808,4.0,4.191489361702128,0.017814469494439034,0.017839628455816103,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,RSI_30_bounded,0.8,40,50,8.525,7.5,5.925,0.01555681165686289,0.015677457717723414,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,MOM_pct_72_z,0.22,11,50,13.818181818181818,13.0,9.909090909090908,0.011831110136842597,0.010168857418830113,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ADX_72_scaled,0.98,49,50,4.122448979591836,1.0,2.836734693877551,0.022170417399593238,0.020862429918311443,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,RSI_72_bounded,0.84,42,50,7.4523809523809526,5.0,5.309523809523809,0.01727520334562021,0.017747622404056362,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,MACD_hist_pct_z,0.16,8,50,14.875,16.5,10.375,0.01226193053309741,0.010059992906973514,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,NATR_14_z,0.56,28,50,12.285714285714286,13.0,8.392857142857142,0.011859357124612368,0.012362596996118275,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,bb_width_20_sqrt_z,0.5,25,50,10.44,10.0,7.32,0.01027504392287073,0.0095303574505467,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,bb_pos_20_norm,0.18,9,50,15.88888888888889,17.0,11.555555555555555,0.01140473240003821,0.009769308742114458,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,volatility_24_sqrt_z,0.7,35,50,9.971428571428572,9.0,6.828571428571428,0.011565791687873847,0.01163637859619926,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,volatility_72_sqrt_z,0.66,33,50,9.606060606060606,9.0,6.909090909090909,0.014876458799962713,0.014481084361737895,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,volatility_168_sqrt_z,0.6,30,50,10.2,10.0,7.2,0.0151155614013461,0.014351588169785767,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,20,log_ret_6_z,0.06,3,50,13.666666666666666,15.0,9.666666666666666,0.009534212628307892,0.008348356696740167,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,log_ret_24_z,0.12,6,50,19.333333333333332,19.5,13.666666666666666,0.00974147915084847,0.007825785311229988,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,log_ret_72_z,0.22,11,50,13.0,14.0,9.818181818181818,0.012803213105366447,0.010572930835036187,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,log_ret_168_z,0.46,23,50,13.391304347826088,15.0,9.521739130434783,0.008995382289263904,0.00817438045982083,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ret_accel_6_24_z,0.42,21,50,12.047619047619047,12.0,8.476190476190476,0.013327938040471832,0.014257427241793463,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ret_accel_24_72_z,0.48,24,50,12.0,12.0,8.333333333333334,0.013712810086303267,0.013640573326123534,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,ret_accel_72_168_z,0.16,8,50,14.0,14.5,10.0,0.012511526896218463,0.012352368268244818,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,vol_ratio_24_log1p_z,0.06,3,50,17.0,17.0,12.333333333333334,0.007912493415831593,0.00830839763559188,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,vol_ratio_72_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,20,vol_ratio_168_log1p_z,0.08,4,50,16.25,17.0,10.5,0.00865563866787715,0.008336610298062597,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,range_sqrt_z,0.08,4,50,18.5,18.5,12.75,0.012099409944883205,0.012558266271295804,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,body_sqrt_z,0.02,1,50,20.0,20.0,15.0,0.007131848948223829,0.007131848948223829,0.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,vol_expansion_24_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,20,vol_expansion_72_log1p_z,0.1,5,50,15.4,16.0,10.4,0.006682512260148166,0.006069671128607623,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,20,vol_expansion_168_log1p_z,0.06,3,50,12.0,14.0,8.333333333333334,0.015713926768297953,0.015157276548303789,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
