interval_minutes,symbol,z_window,series_kind,series_name,n_obs,n_unique,mean,std,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,pp_lags,test_error,adf_reject_unit_root_5pct,kpss_reject_stationarity_5pct,kpss_not_reject_stationarity_5pct,both_stationary_5pct,stationarity_class
240,ETHUSDT,48,final_feature,ADX_72_scaled,5625,5625,-0.40792740489536283,0.24703458555520524,-5.3367216751928295,4.593810234116034e-06,7,0.513414225525204,0.03864544470153063,44,-3.487569064948113,0.00831214539190392,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,final_feature,RSI_72_bounded,5625,5625,0.004429077388256034,0.12495467584164593,-5.833393616108017,3.927198465889539e-07,6,1.2784177179632652,0.01,44,-6.1708987933220785,6.80944962553611e-08,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,final_feature,MACD_hist_pct_z,5625,5620,-0.03397715342654891,1.2547924479480492,-16.225304147840834,3.8605539412642664e-29,33,0.07581907198110233,0.1,39,-10.797916334996861,2.0528438960909173e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,NATR_14_z,5625,5613,-0.10109787414969218,1.4053166812727087,-10.094968030122448,1.0969623115294832e-17,33,0.08670580354673624,0.1,42,-11.98034613536541,3.7174816839629125e-22,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,bb_width_20_sqrt_z,5625,5624,-0.0005898180499530213,1.293006528090794,-15.150786325306257,6.802027925823816e-28,21,0.01810467948173945,0.1,41,-10.186333738739584,6.493973278214399e-18,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,bb_pos_20_norm,5625,5625,0.002669130226218202,0.3385119871181303,-17.425076011855726,4.801846685819427e-30,6,0.3065740926552254,0.1,39,-20.143373787345197,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,volatility_24_sqrt_z,5625,5612,-0.029695603774274434,1.407266898670897,-11.596656491711236,2.7102493149889548e-21,28,0.01727765466982566,0.1,42,-13.155850646479475,1.3378040548051522e-24,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,volatility_72_sqrt_z,5625,5590,-0.10854684355795535,1.6524913196512023,-11.566937137987436,3.1696160901725987e-21,5,0.016694879524189805,0.1,42,-11.71220135277403,1.47980214313774e-21,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,volatility_168_sqrt_z,5625,5585,-0.06276103639131747,1.681317826494871,-10.498222911242634,1.101242416968272e-18,4,0.052267843166133116,0.1,42,-11.600529427313727,2.6555836219446166e-21,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,log_ret_6_z,5625,5617,-0.005414034930561522,1.1480432492046968,-14.435916204500664,7.496303264453607e-27,31,0.04980109133773252,0.1,29,-19.376432558536756,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,log_ret_24_z,5625,5623,0.013259219460653324,1.358835560904397,-13.65441032473223,1.5636611417234677e-25,27,0.035682939312344605,0.1,41,-13.767783403331455,9.810732910846749e-26,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,log_ret_72_z,5625,5615,0.014789490634949266,1.4801021240815637,-10.735161063170095,2.911678509654445e-19,30,0.017331134092463008,0.1,42,-13.16972886044477,1.257600972021444e-24,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,log_ret_168_z,5625,5618,-0.04836220237191489,1.4608073795433494,-11.425654855152853,6.7056315277371076e-21,12,0.020351480794823025,0.1,42,-13.150298915339949,1.37134669393023e-24,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,ret_accel_6_24_z,5625,5622,-0.016221967969370477,1.306302794528297,-16.657108721552884,1.5857383862585981e-29,33,0.043973962653068535,0.1,41,-14.540004564314838,5.16420366810637e-27,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,ret_accel_24_72_z,5625,5622,-0.021523157735767948,1.4749299118806367,-13.159525426158066,1.3160675239511507e-24,30,0.03230865291735375,0.1,42,-12.893974237489369,4.388314639901263e-24,33,,True,False,True,True,stationary_by_ADF_and_KPSS
