n_symbols,mean_return_pct,median_return_pct,min_return_pct,max_return_pct,max_drawdown_abs,mean_drawdown_abs,median_profit_factor,mean_profit_factor,total_trades,total_trade_events,mean_trades,mean_turnover,mean_win_rate,mean_raw_action_1_ratio,mean_executed_action_1_ratio,mean_threshold_applied_ratio,mean_constraint_applied_ratio,active_symbols,long_action_symbols,positive_return_symbols,all_symbols_active,all_symbols_have_long,val_first_mean_return_pct,val_first_median_return_pct,val_first_min_return_pct,val_first_max_return_pct,val_first_max_drawdown_abs,val_first_mean_drawdown_abs,val_first_median_profit_factor,val_first_mean_profit_factor,val_first_total_trades,val_first_total_trade_events,val_first_mean_turnover,val_first_mean_executed_action_1_ratio,val_first_mean_threshold_applied_ratio,val_first_mean_constraint_applied_ratio,val_first_positive_return_symbols,val_first_active_symbols,val_first_long_action_symbols,val_second_mean_return_pct,val_second_median_return_pct,val_second_min_return_pct,val_second_max_return_pct,val_second_max_drawdown_abs,val_second_mean_drawdown_abs,val_second_median_profit_factor,val_second_mean_profit_factor,val_second_total_trades,val_second_total_trade_events,val_second_mean_turnover,val_second_mean_executed_action_1_ratio,val_second_mean_threshold_applied_ratio,val_second_mean_constraint_applied_ratio,val_second_positive_return_symbols,val_second_active_symbols,val_second_long_action_symbols,min_half_median_return_pct,max_half_median_return_pct,half_return_gap_pct,second_minus_first_half_median_return_pct,seed,confirmation_seed,original_trial_number,confirmation_rank_from_optuna,bandit_name,method_group,set_name,z_window
5,-0.4142522303735639,-0.6090112602170406,-6.877039716698485,7.473520933931077,12.184376575776634,8.121760303083796,0.8848663245587337,0.8954349949105491,455,914,91.0,0.0914,0.48540470607564645,0.40750000000000003,0.4603,0.0636,0.08679999999999999,5,5,1,True,True,2.056945873749634,1.407511645194881,-2.813929486366662,10.34627690862484,4.4103860241189725,3.3370675035326998,1.1851351400373822,1.167892853331039,215,432,0.0864,0.49540000000000006,0.062,0.0742,3,5,5,-2.391699662018059,-2.5670251587021964,-4.18075369120089,0.19118224991909738,9.641759400176076,6.387410159274554,0.7003314639078216,0.7441298163707626,240,482,0.0964,0.4252000000000001,0.06520000000000001,0.0994,1,5,5,-2.5670251587021964,1.407511645194881,3.9745368038970774,-3.9745368038970774,8010,8010,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-0.6355073625764642,0.13576407672311053,-8.876427444261271,9.571976813952055,15.668427393696316,7.649654350781944,0.9307343100878059,0.899484711875804,471,945,94.2,0.0945,0.4703183581124758,0.4058,0.45709999999999995,0.0654,0.08870000000000001,5,5,3,True,True,1.6853439270013524,0.40087273653655053,-3.9331943409586234,10.61144282643085,5.099543323630506,3.7365313215847884,0.9871793779456204,1.120972207337019,221,443,0.0886,0.4952,0.0636,0.0764,4,5,5,-2.2608613473092154,-0.4239436661637508,-9.782775433785584,-0.06898298302501216,13.023056565586877,5.897864057089612,0.8754872440152168,0.7846643900615291,250,502,0.1004,0.41899999999999993,0.06720000000000001,0.101,0,5,5,-0.4239436661637508,0.40087273653655053,0.8248164027003013,-0.8248164027003013,8011,8011,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,1.56037529077796,0.8855095295400739,-3.3358368411701034,5.193792671894237,8.060268661355764,6.406047605036475,0.970706116270691,0.991575746063952,460,924,92.0,0.0924,0.5157544977859679,0.41600000000000004,0.4675000000000001,0.0621,0.0856,5,5,4,True,True,1.924246993964438,1.1307547968827603,-3.0742171775331673,9.529179305302659,4.908310480661992,3.911796483953336,1.0971698397666445,1.0953252327630971,217,435,0.087,0.49079999999999996,0.0632,0.07719999999999999,3,5,5,-0.2613064644590259,-0.2699175142243937,-4.284978381062244,4.139279730159595,6.778599584764966,4.713966465430814,0.8863186233557907,0.9343831548403859,243,489,0.09780000000000001,0.44419999999999993,0.061,0.094,2,5,5,-0.2699175142243937,1.1307547968827603,1.400672311107154,-1.400672311107154,8012,8012,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-0.031061145641655408,-0.8594672279504723,-6.13341554318052,5.854935963690533,10.810989243694413,6.873665226427643,0.9027430734647108,0.9240298259746723,446,896,89.2,0.08959999999999999,0.5048434261890034,0.4157,0.4633999999999999,0.0671,0.0782,5,5,2,True,True,1.620582023983932,-0.5863544258224773,-3.8074669553233687,10.191919678342476,5.5085181814223505,4.224997820984207,0.8487883990286947,1.1439585721592427,211,423,0.0846,0.4892,0.06760000000000001,0.0686,2,5,5,-1.55998240792935,-1.3828456708622205,-3.9358455023851935,0.161691257612806,7.280733822778429,5.623422895203217,0.755523307835155,0.8065335196154667,235,473,0.09459999999999999,0.43759999999999993,0.06659999999999999,0.0878,1,5,5,-1.3828456708622205,-0.5863544258224773,0.7964912450397432,-0.7964912450397432,8013,8013,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-0.19649817083434035,0.9319931422901995,-6.160128938781096,7.629963336003054,11.569351998151289,7.8457130942725755,0.9577132877741975,0.9292372433537374,440,884,88.0,0.0884,0.49755659956081894,0.4064,0.4553,0.0637,0.0806,5,5,3,True,True,2.7169549389194403,1.4493261954964476,-3.088686955258435,11.181902999197613,4.832961156614612,3.575714005008166,1.1143461429822243,1.2702187083736995,206,414,0.0828,0.5006,0.0654,0.06400000000000002,3,5,5,-2.7732008846730505,-3.096725319632565,-5.757905130923002,1.2053844782299539,8.570287377388508,6.097888660170534,0.64174956704538,0.7540900657107583,234,470,0.094,0.41000000000000003,0.062,0.09720000000000001,1,5,5,-3.096725319632565,1.4493261954964476,4.546051515129013,-4.546051515129013,8014,8014,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.31634116512934796,-0.5674901372319963,-5.918779620020064,8.923485610329518,11.650952194021668,7.968341686620514,0.8836738387572503,0.9637219998519677,453,910,90.6,0.091,0.501321692117507,0.42069999999999996,0.46959999999999996,0.06570000000000001,0.08320000000000001,5,5,2,True,True,2.535384778525067,2.1965451369327926,-3.8866979594826656,10.067722805515533,4.912462324096167,3.838792783608214,1.191094104248934,1.229009545768731,213,427,0.0854,0.5098,0.0674,0.07120000000000001,4,5,5,-2.165861502158184,-2.11425642173938,-5.4526615532907385,0.4818129921824177,9.756731246120331,6.211386027469045,0.7364023211788594,0.7800413101896593,240,483,0.09659999999999999,0.42940000000000006,0.064,0.09519999999999999,1,5,5,-2.11425642173938,2.1965451369327926,4.310801558672173,-4.310801558672173,8015,8015,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.11721379889847672,0.39565825953009615,-4.661916721073656,3.8620006641249427,9.830038939093832,7.659169685024059,0.9770782381079075,0.9493166358621956,463,930,92.6,0.093,0.4959792463994145,0.4202,0.47440000000000004,0.0639,0.0849,5,5,3,True,True,2.0986794517143452,1.4326481384834278,-2.151698835148097,8.574412431408952,3.9806219568834456,3.474353026846491,1.1438603604179058,1.1632017120025644,220,441,0.0882,0.517,0.064,0.0766,4,5,5,-1.8883687948809613,-1.6637198297926536,-4.340259976319061,0.4545374973637939,7.603740054522179,5.988939165844282,0.7410540294782381,0.8032033451923029,243,489,0.0978,0.43179999999999996,0.0638,0.09319999999999999,1,5,5,-1.6637198297926536,1.4326481384834278,3.0963679682760814,-3.0963679682760814,8016,8016,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.5155445384025791,0.9891454967857038,-5.603346370334805,9.252054402777365,11.432301376106036,7.132022907886248,0.9774752944432332,0.9660483144839276,429,863,85.8,0.08630000000000002,0.4947709519875948,0.42539999999999994,0.4716,0.0637,0.0733,5,5,3,True,True,1.4319488767235922,0.6371910047143103,-4.2715140554899556,11.271631079240695,5.848075700348831,4.0031162701014855,0.9957051594902845,1.0936625974335836,207,415,0.08299999999999999,0.518,0.0632,0.06640000000000001,3,5,5,-0.8804585996375369,-1.3912601893827703,-2.614356202145496,1.068594243909926,7.480309805345653,5.291558785452979,0.7924608322731201,0.9093836284306397,222,448,0.08959999999999999,0.4252000000000001,0.06420000000000001,0.0802,2,5,5,-1.3912601893827703,0.6371910047143103,2.0284511940970806,-2.0284511940970806,8017,8017,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-0.18540140567228108,-1.8124316191157508,-5.436090066275979,9.13882400674022,12.006202723227567,7.684267562573001,0.8244848959866131,0.9050410205166246,463,930,92.6,0.093,0.48184641376801574,0.41290000000000004,0.4625,0.0588,0.0846,5,5,2,True,True,1.4775668599410108,0.49906235178180935,-4.149525421559064,10.133359560311428,5.1442032080181725,4.275278333235922,0.9754575782407278,1.0923441846588076,221,443,0.08859999999999998,0.4854,0.0616,0.0728,3,5,5,-1.5973058313460944,-0.9030284352912865,-5.732376904168735,0.28391703425796333,9.356794249917522,5.965545557495652,0.8792191982801243,0.8310817326457812,242,487,0.09740000000000001,0.4396,0.05600000000000001,0.0964,1,5,5,-0.9030284352912865,0.49906235178180935,1.4020907870730959,-1.4020907870730959,8018,8018,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.324514408074489,0.530529565229676,-11.389635611448579,9.054403455188709,14.20062775978107,8.038383814138228,0.9489621754135985,0.8860019112393249,448,900,89.6,0.09,0.48011159842736434,0.4189,0.4649,0.063,0.0806,5,5,3,True,True,1.2130035290211305,-0.6210568466521238,-2.9069091480760534,10.819569782409877,6.361524321964962,4.266243985951892,0.8332982248138937,1.1001365305382014,208,417,0.0834,0.49660000000000004,0.0684,0.07020000000000001,2,5,5,-2.5348823377451795,-1.5928290740408246,-9.405667331786283,1.3444272466650142,12.205655105487889,6.156948130879863,0.7975925359240731,0.8101992888989213,240,483,0.09659999999999999,0.4332,0.057600000000000005,0.091,1,5,5,-1.5928290740408246,-0.6210568466521238,0.9717722273887008,-0.9717722273887008,8019,8019,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
