seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3142,3,-3.669158616153175,0.5,-4.553682991633504,-1.0155854897121859,-4.553682991633504,-5.504686505301159,-6.001993154684149,10.352858292230893,11.952906270053198,0.761676509007489,475,150,0.5393333333333333,0.1865,0.3215,0.6785,1.0,0.995,4.0,6.579268292682927,4.0,5.0,0.8719512195121951,0.12804878048780488,8.0,4,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3143,3,-6.540085358538082,0.5,-7.9123925206861,-2.4231638720940287,-7.9123925206861,-10.083669504970967,-11.618357203374618,12.316738683555794,16.994935619868002,0.5700176564122525,454,138,0.5271666666666667,0.1738333333333333,0.2875,0.7125,1.0,0.995,4.0,6.956521739130435,4.0,7.0,0.855072463768116,0.14492753623188406,9.0,4,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3144,3,-4.659837454842378,0.5,-6.146469032462613,-0.19994272198167554,-6.146469032462613,-6.342192220190611,-4.892561338516899,10.277891006328343,14.072287404948113,0.7796630327365324,457,138,0.5518333333333333,0.17966666666666664,0.3095,0.6905,1.0,0.995,4.0,6.8441558441558445,4.0,6.0,0.8571428571428571,0.14285714285714285,8.0,4,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3145,3,-4.749310262476951,0.5,-5.737359232398956,-1.7851633527109352,-5.737359232398956,-7.436044830928342,-7.834237211364325,11.188321620776719,13.843903531879299,0.6974488282879795,463,146,0.5356666666666666,0.18566666666666665,0.3055,0.6945,1.0,0.995,4.0,6.457516339869281,4.0,6.0,0.8475609756097561,0.1524390243902439,9.0,4,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3146,3,-4.489564891963312,0.5,-5.67633459523967,-0.9292557821342381,-5.67633459523967,-6.553759012249075,-6.978067989403025,8.877519942742628,11.2970756350102,0.7012355567445493,446,138,0.5441666666666666,0.166,0.3075,0.6925,1.0,0.995,4.0,6.87012987012987,4.0,7.0,0.8506493506493507,0.14935064935064934,9.0,4,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3142,3,-5.461127995267125,0.5,-7.4943977493456195,0.6386812669683587,-7.4943977493456195,-6.906454407416341,-5.2710056525471565,10.685317430773289,13.963845671323815,0.7285846333108211,461,146,0.5285,0.1851666666666667,0.30400000000000005,0.696,1.0,0.995,4.0,6.256578947368421,4.0,6.0,0.8486842105263158,0.1513157894736842,9.0,5,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3143,3,-5.670441652895267,0.5,-7.109158783496935,-1.354290261090263,-7.109158783496935,-8.360157525981892,-10.156861371451598,11.346837792905562,12.596427322970783,0.6086033674770076,468,150,0.5275,0.1905,0.3035,0.6965,1.0,0.995,4.0,6.322368421052632,4.0,6.0,0.8618421052631579,0.13815789473684212,8.5,5,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3144,3,-4.6696485387092395,0.5,-5.839405337920071,-1.1603781410767458,-5.839405337920071,-6.931838480675516,-6.473050056706153,10.447884497900638,13.53323895439853,0.7218541126451002,467,151,0.5363333333333333,0.18333333333333335,0.3055,0.6945,1.0,0.995,4.0,6.276073619631902,4.0,5.0,0.869281045751634,0.13071895424836602,8.0,5,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3145,3,-3.9136277731109343,0.5,-4.680120790267746,-1.6141487216404997,-4.680120790267746,-6.215623852347093,-6.3169833859603735,7.147457848061456,10.87885335923554,0.7264375907064009,464,146,0.5343333333333333,0.17250000000000001,0.3015,0.6985,1.0,0.995,4.0,6.760273972602739,4.0,6.0,0.8356164383561644,0.1643835616438356,8.0,5,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3146,3,-5.485105052647829,0.5,-7.379616016845059,0.19842783994385993,-7.379616016845059,-7.176737097361055,-5.69200221597127,10.714646589810839,14.972996040979659,0.7452691449183702,463,151,0.5471666666666667,0.18083333333333332,0.3035,0.6965,1.0,0.995,4.0,6.940397350993377,4.0,6.0,0.8410596026490066,0.15894039735099338,8.5,5,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3142,3,-3.5546809738734972,0.5,-4.465161077965533,-0.8232406615973908,-4.465161077965533,-5.243685999395357,-6.356925259097257,8.188958288298764,9.029495156723987,0.70792902366909,429,125,0.5245,0.16383333333333336,0.266,0.734,1.0,0.995,4.0,7.135338345864661,4.0,7.0,0.7819548872180451,0.21804511278195488,9.0,6,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3143,3,-3.8931598671057923,0.5,-4.928423915017621,-0.7873677233703061,-4.928423915017621,-5.627799805379904,-6.953761329711594,8.69735098284522,12.010225006850861,0.6946174605537144,436,121,0.5239999999999999,0.1711666666666667,0.2935,0.7065,1.0,0.995,4.0,6.482993197278912,4.0,6.0,0.8231292517006803,0.17687074829931973,8.0,6,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3144,3,-3.5440477665596735,0.5,-4.3706777181555765,-1.0641579117719642,-4.3706777181555765,-5.374360726726342,-6.277081345779056,9.502469640102051,10.119158291295449,0.7130112713880226,447,136,0.5078333333333334,0.18166666666666667,0.27349999999999997,0.7265,1.0,0.995,4.0,6.992647058823529,4.0,7.0,0.7941176470588235,0.20588235294117646,9.0,6,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3145,3,-2.488338279095885,0.5,-2.9702203798436173,-1.042691976852687,-2.9702203798436173,-3.9804483560735817,-4.272917705174439,6.546055510308624,9.292722515344654,0.7827606993505036,455,134,0.5143333333333333,0.18300000000000002,0.27749999999999997,0.7225,1.0,0.995,4.0,6.762589928057554,4.0,7.0,0.8273381294964028,0.17266187050359713,9.0,6,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3146,3,-3.373379148474463,0.5,-3.9350114908050773,-1.688482121482619,-3.9350114908050773,-5.5474366012392595,-6.858235056031969,8.842210565151909,9.372541572672798,0.7053418542015382,446,130,0.5141666666666667,0.17683333333333331,0.2875,0.7125,1.0,0.995,4.0,6.472222222222222,4.0,5.25,0.8333333333333334,0.16666666666666666,9.0,6,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3142,3,-4.82084033510725,0.5,-6.533058272012667,0.31581347560900214,-6.533058272012667,-6.2505738516920175,-6.22632848835587,11.905888147537457,12.91395459878597,0.7238632703628181,440,130,0.539,0.16549999999999998,0.2815,0.7185,1.0,0.995,4.0,7.7304964539007095,4.0,7.0,0.7801418439716312,0.2198581560283688,8.5,7,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
