seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8010,3,-3.320455979040621,0.5,-4.097575711612356,-0.9890967813254159,-4.097575711612356,-5.061037955630713,-5.864995432398845,7.610781944341816,10.144918823603977,0.7294110862589898,410,124,0.5228333333333333,0.1545,0.25949999999999995,0.7405,1.0,0.995,4.0,7.790322580645161,4.0,7.0,0.7903225806451613,0.20967741935483872,9.0,8010,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8011,3,-5.103914129392889,0.5,-6.184721326775974,-1.8614925372436364,-6.184721326775974,-7.918087142081372,-7.183467096563234,10.086239152757381,14.00484908572681,0.6883486317203626,445,135,0.5135,0.17516666666666666,0.2895,0.7105,1.0,0.995,4.0,6.513888888888889,4.0,6.0,0.8472222222222222,0.1527777777777778,9.0,8011,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8012,3,-2.9536982760945403,0.5,-3.679164313318784,-0.7773001644218088,-3.679164313318784,-4.406904022452991,-6.3149867180081865,8.071067386037466,9.372237468773159,0.7305303666521666,446,117,0.5183333333333334,0.1845,0.2915,0.7085,1.0,0.995,4.0,6.441379310344828,4.0,6.0,0.8482758620689655,0.15172413793103448,9.0,8012,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8013,3,-3.948243920472935,0.5,-5.06199515361017,-0.6069902210612285,-5.06199515361017,-5.614495984501718,-7.6672347461418155,10.22714106635373,10.530911982380154,0.6827415705343352,438,128,0.5271666666666667,0.17500000000000002,0.26949999999999996,0.7305,1.0,0.995,4.0,7.052238805970149,4.0,6.75,0.7985074626865671,0.20149253731343283,9.5,8013,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8014,3,-4.930727648392639,0.5,-6.0645581315145165,-1.5292361990270065,-6.0645581315145165,-7.463876935656169,-8.559953488912786,10.25230220359532,12.474214976478082,0.6439312294603455,433,124,0.5225,0.16216666666666665,0.28600000000000003,0.714,1.0,0.995,4.0,6.748251748251748,4.0,8.0,0.8111888111888111,0.1888111888111888,9.0,8014,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8015,3,-4.416572928278915,0.5,-5.618966792979559,-0.8093913341769824,-5.618966792979559,-6.351665490300081,-8.807487286565308,10.791073265220897,11.485681894052524,0.6371596619505003,442,130,0.5225,0.18033333333333335,0.27949999999999997,0.7205,1.0,0.995,4.0,6.807142857142857,4.0,6.0,0.8214285714285714,0.17857142857142858,9.0,8015,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8016,3,-4.831620318444663,0.5,-5.866679470235,-1.7264428630736515,-5.866679470235,-7.500002694256111,-8.427496672297519,10.081208347274329,12.202226536262295,0.6361482711676435,450,136,0.5226666666666667,0.17733333333333334,0.27949999999999997,0.7205,1.0,0.995,4.0,6.821428571428571,4.0,7.0,0.8142857142857143,0.18571428571428572,9.0,8016,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8017,3,-4.452784505602801,0.5,-5.740533621966848,-0.5895371565106592,-5.740533621966848,-6.314772704037213,-8.197865821283601,9.670727286824388,10.042677788930854,0.6543701719240925,442,133,0.519,0.17783333333333332,0.276,0.724,1.0,0.995,4.0,6.739130434782608,4.0,6.0,0.8333333333333334,0.16666666666666666,9.0,8017,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8018,3,-3.9159114218652173,0.5,-4.871194909117034,-1.0500609601097666,-4.871194909117034,-5.857868720728632,-6.759632122322079,9.15732846064362,10.733443611664528,0.709520755335644,434,118,0.5255,0.17966666666666667,0.27749999999999997,0.7225,1.0,0.995,4.0,6.782608695652174,4.0,6.0,0.8188405797101449,0.18115942028985507,10.0,8018,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8019,3,-3.8979466193478216,0.5,-4.750610783052652,-1.3399541282333303,-4.750610783052652,-6.011071190575009,-7.910467537397015,9.2688870399523,9.930888748591682,0.6765355336059535,444,124,0.5213333333333333,0.1758333333333333,0.27749999999999997,0.7225,1.0,0.995,4.0,6.863309352517986,4.0,7.0,0.7985611510791367,0.2014388489208633,10.0,8019,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8020,3,-4.5813017133087985,0.5,-5.648598628266348,-1.379410968436149,-5.648598628266348,-6.938230692530696,-6.566896653376563,8.633699529415162,12.880531312502807,0.7163443991299961,423,127,0.5218333333333333,0.15783333333333335,0.27749999999999997,0.7225,1.0,0.995,4.0,6.86231884057971,4.0,6.0,0.8043478260869565,0.1956521739130435,9.5,8020,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8021,3,-4.63872113328247,0.5,-5.532548171986325,-1.9572400171709023,-5.532548171986325,-7.363269660202576,-8.939679030247294,11.690217909025314,13.030348385876579,0.6203924188964863,442,134,0.5251666666666667,0.17300000000000001,0.26949999999999996,0.7305,1.0,0.995,4.0,7.177777777777778,4.0,7.0,0.8074074074074075,0.1925925925925926,9.0,8021,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8022,3,-3.5649765393887822,0.5,-4.645232207181707,-0.32420953601000796,-4.645232207181707,-4.940646434153069,-6.617775296081785,8.604228382586598,9.152642175004544,0.7118620563279979,440,123,0.5293333333333333,0.1755,0.26949999999999996,0.7305,1.0,0.995,4.0,7.140740740740741,4.0,7.0,0.8074074074074075,0.1925925925925926,8.0,8022,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8023,3,-4.315154314689734,0.5,-5.35642586162495,-1.191339673884088,-5.35642586162495,-6.462622659515553,-7.709594481273174,9.362577526238336,12.387129505161187,0.675682931057892,452,131,0.5273333333333333,0.17616666666666667,0.2895,0.7105,1.0,0.995,4.0,6.7172413793103445,4.0,7.0,0.8206896551724138,0.1793103448275862,9.0,8023,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8024,3,-3.9967313821692736,0.5,-4.816795009622125,-1.5365404998107197,-4.816795009622125,-6.25651141105963,-7.971405181046731,10.2315487593017,11.400330639698787,0.6659876336047985,421,122,0.5348333333333333,0.16516666666666668,0.278,0.722,1.0,0.995,4.0,6.9496402877697845,4.0,7.0,0.8201438848920863,0.17985611510791366,9.0,8024,16,2,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8000,3,-4.899957297737734,0.5,-6.0843316657592394,-1.3468341936732149,-6.0843316657592394,-7.327093139806725,-8.841036468179153,10.74192008600563,12.888628497460953,0.6247368723327565,434,125,0.5208333333333334,0.17200000000000001,0.26949999999999996,0.7305,1.0,0.995,4.0,7.2,4.0,7.0,0.8074074074074075,0.1925925925925926,9.0,8000,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
