bandit_name,method_group,set_name,confirmation_rank_from_optuna,original_trial_number,confirmation_seed,symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,trade_events,turnover,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p50,uncertainty_0_mean,uncertainty_1_mean,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,source_mode,period_start_idx,period_end_idx_exclusive,period_start_timestamp,period_end_timestamp
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,BTCUSDT,train,100.0,91.29276848397373,-8.70723151602627,-14.21333584809169,14.21333584809169,0.4159260575897618,0.45254177035193743,2546,2340,5626,468,0.08318521151795237,0.084962673302524,0.06576608602915038,0.0177531267332817,0.013125373269203187,0.26604817836838923,0.32004085607994276,5616,-0.0010985041460459415,0.027057847702562518,0.05592245409945374,234,0.3717948717948718,-0.004648033543184398,-0.005072566278668212,-1.087639849105149,0.6866633177171063,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,BTCUSDT,val,100.0,97.8790125797871,-2.120987420212894,-4.239417869411,4.239417869411,0.46,0.4985,997,920,2000,141,0.0705,0.0785,0.039,0.01867078950206343,0.015445242610294636,0.2680430689475835,0.28208100647883466,1990,0.0005724214429947166,0.02476256489851513,0.052614968455764494,70,0.44285714285714284,-0.0032804773787235234,-0.004818488773202648,-0.22963341651064664,0.7784363469066504,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,BTCUSDT,val_first,100.0,99.41004424881226,-0.5899557511877429,-3.3251456270002477,3.3251456270002477,0.478,0.5,500,478,1000,54,0.054,0.06,0.016,0.020474273305225433,0.016896232711925425,0.2644678761596486,0.28252546765944614,990,0.001194176564814925,0.02598953197079423,0.05559800703470795,27,0.37037037037037035,-0.00294115783307933,-0.014224561608227892,-0.07941126149314191,0.8359564951541779,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,BTCUSDT,val_second,99.41004424881226,97.8790125797871,-1.5401176818643725,-3.574610022620772,3.574610022620772,0.442,0.497,497,442,1000,87,0.087,0.097,0.062,0.01686730569890142,0.014244320723358623,0.27161826173551834,0.28163654529822313,1000,-4.3116127607289446e-05,0.023481657509971398,0.0488382063874185,43,0.4883720930232558,-0.003493538488779181,-0.0009346676856996205,-0.15022215501750477,0.7280236109398256,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,DOGEUSDT,train,100.0,84.66535283174571,-15.334647168254289,-18.066928433772656,18.066928433772656,0.45236402417348026,0.5069321009598293,2852,2545,5626,490,0.08709562744400995,0.06221116246000711,0.08158549591183789,0.02438624912715121,0.018651212197138032,0.27993884274839703,0.3048693807159209,5616,-0.0027868882697362667,0.04349460598288749,0.08955828199548944,245,0.4530612244897959,-0.008245644850864311,-0.005498356158783497,-2.020182988461756,0.6316269434428342,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,DOGEUSDT,val,100.0,97.53808313220107,-2.46191686779893,-10.361871834328007,10.361871834328007,0.3985,0.444,888,797,2000,181,0.0905,0.054,0.0775,0.027729253940612986,0.021247313805683538,0.2519893921362347,0.29371749862362606,1990,-0.0012872373034940941,0.052020322698887296,0.1098379284455982,90,0.43333333333333335,-0.003032460086775961,-0.004142982947757051,-0.2729214078098365,0.8557512542531869,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,DOGEUSDT,val_first,100.0,102.25046923097833,2.250469230978336,-3.0744963098874756,3.0744963098874756,0.465,0.492,492,465,1000,74,0.074,0.069,0.042,0.02690653626474844,0.020185556542633678,0.2571869742055187,0.28773079489569237,990,-0.0026361776996167755,0.05542681765484202,0.11689214466816783,37,0.40540540540540543,0.0042221750067503545,-0.005006260436236954,0.15622047524976312,1.2080002121888154,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,DOGEUSDT,val_second,102.25046923097833,97.53808313220107,-4.608669411709232,-7.561397298694361,7.561397298694361,0.332,0.396,396,332,1000,107,0.107,0.039,0.113,0.02855197161647753,0.022282891341370396,0.24679181006695067,0.2997042023515598,1000,4.821368866736009e-05,0.048403306069972264,0.10265539361207482,53,0.4528301886792453,-0.008097016661501878,-0.0028180268958777686,-0.4291418830595995,0.6238765094501475,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,ETHUSDT,train,100.0,86.52011407408338,-13.479885925916623,-17.571578653560714,17.571578653560714,0.41130465694987556,0.4676501955207963,2631,2314,5626,510,0.09065055101315321,0.0796302879488091,0.07056523284749378,0.021912694464640725,0.015624204649907235,0.2612621347768959,0.31443998226688413,5616,-0.00276523830604973,0.034148734787021205,0.0733699142403798,255,0.48627450980392156,-0.006648075926028888,-0.0006006449009346229,-1.6952593611373665,0.6347009020484038,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,3,34,8014,ETHUSDT,val,100.0,98.43012020302973,-1.569879796970275,-8.923432986725356,8.923432986725356,0.4225,0.4835,967,845,2000,190,0.095,0.073,0.094,0.020681463312985468,0.015985038776059293,0.25738610324038347,0.29417586500016785,1990,-0.00024840923870984047,0.03803234417369041,0.0775544643581853,95,0.49473684210526314,-0.0031342074754671873,-1.7901282476948804e-05,-0.2977497101693828,0.8350687188059447,,,,,
