interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,BTCUSDT,192,True,volatility_192_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.0042061266691893594,0.0042061266691893594,45073,54
30,30m,BTCUSDT,192,True,volatility_192_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,-0.00034257618394397597,0.00034257618394397597,45073,54
30,30m,BTCUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0010418493458592161,0.0010418493458592161,45073,54
30,30m,BTCUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.001564545739347515,0.001564545739347515,45073,54
30,30m,BTCUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.003222302223453364,0.003222302223453364,45073,54
30,30m,BTCUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.004687335262538024,0.004687335262538024,45073,54
30,30m,BTCUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.007202892333291002,0.007202892333291002,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.0053950069904496875,0.0053950069904496875,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.015941137911030766,0.015941137911030766,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.020400052014795923,0.020400052014795923,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.027163314836656086,0.027163314836656086,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.04410437855926824,0.04410437855926824,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01864814470871493,0.01864814470871493,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_3,3,1.5,spearman,-0.02768897874209317,0.02768897874209317,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02844269170046273,0.02844269170046273,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_10,10,5.0,spearman,-0.029899838046374604,0.029899838046374604,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_24,24,12.0,spearman,-0.03610441747236961,0.03610441747236961,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0030391953433358296,0.0030391953433358296,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_3,3,1.5,spearman,-0.003376510279297327,0.003376510279297327,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_5,5,2.5,spearman,-0.0006854596101709652,0.0006854596101709652,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_10,10,5.0,spearman,0.007789874727999491,0.007789874727999491,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_24,24,12.0,spearman,0.02351165104643946,0.02351165104643946,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01196364003621077,0.01196364003621077,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.021189426410878696,0.021189426410878696,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02416472697808176,0.02416472697808176,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026395414398571973,0.026395414398571973,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.02174062604611944,0.02174062604611944,45073,54
30,30m,BTCUSDT,192,True,log_ret_1344_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0057683771045917214,0.0057683771045917214,45073,54
30,30m,BTCUSDT,192,True,log_ret_1344_z,target_log_ret_horizon_3,3,1.5,spearman,-0.009918605297666075,0.009918605297666075,45073,54
