interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,ETHUSDT,192,True,dist_ema_400_z,target_log_ret_horizon_3,3,1.5,spearman,-0.023244104613723362,0.023244104613723362,45073,54
30,30m,ETHUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_5,5,2.5,spearman,-0.05231414324965426,0.05231414324965426,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.036612907231926894,0.036612907231926894,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.03264766323431927,0.03264766323431927,45073,54
30,30m,ETHUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_5,5,2.5,spearman,-0.0313356509245535,0.0313356509245535,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.02761316216210833,0.02761316216210833,45073,54
30,30m,ETHUSDT,192,True,log_ret_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.027049230158064055,0.027049230158064055,45073,54
30,30m,ETHUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_5,5,2.5,spearman,-0.027000455566060972,0.027000455566060972,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.026906324116608617,0.026906324116608617,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,-0.026646785950496715,0.026646785950496715,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_5,5,2.5,spearman,-0.024789766332505424,0.024789766332505424,45073,54
30,30m,ETHUSDT,192,True,log_ret_48_z,target_log_ret_horizon_5,5,2.5,spearman,-0.024305203802540427,0.024305203802540427,45073,54
30,30m,ETHUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_5,5,2.5,spearman,-0.024166771838391582,0.024166771838391582,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02330638435402965,0.02330638435402965,45073,54
30,30m,ETHUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_5,5,2.5,spearman,-0.022291564690443307,0.022291564690443307,45073,54
30,30m,ETHUSDT,192,True,log_ret_1344_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02196671640433468,0.02196671640433468,45073,54
30,30m,ETHUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.0366206268289649,0.0366206268289649,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.032223066551686476,0.032223066551686476,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.027915925632790935,0.027915925632790935,45073,54
30,30m,ETHUSDT,192,True,log_ret_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026426856068537084,0.026426856068537084,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026191372607929406,0.026191372607929406,45073,54
30,30m,ETHUSDT,192,True,NATR_14_z,target_log_ret_horizon_10,10,5.0,spearman,0.024860795419559562,0.024860795419559562,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_576_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.021381413836820743,0.021381413836820743,45073,54
30,30m,ETHUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_10,10,5.0,spearman,0.021181799336785437,0.021181799336785437,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_1344_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.01949955923006372,0.01949955923006372,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,-0.019162792701300564,0.019162792701300564,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.018396108945904065,0.018396108945904065,45073,54
30,30m,ETHUSDT,192,True,log_ret_48_z,target_log_ret_horizon_10,10,5.0,spearman,-0.01837065512651662,0.01837065512651662,45073,54
30,30m,ETHUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.01776786725736703,0.01776786725736703,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.01767724432184095,0.01767724432184095,45073,54
30,30m,ETHUSDT,192,True,ret_accel_48_192_z,target_log_ret_horizon_10,10,5.0,spearman,-0.01745924354132089,0.01745924354132089,45073,54
30,30m,ETHUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.03088408807413398,0.03088408807413398,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.02996179010522025,0.02996179010522025,45073,54
30,30m,ETHUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.029871345928820358,0.029871345928820358,45073,54
30,30m,ETHUSDT,192,True,NATR_14_z,target_log_ret_horizon_24,24,12.0,spearman,0.027580513745162266,0.027580513745162266,45073,54
30,30m,ETHUSDT,192,True,log_ret_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.025446768890997576,0.025446768890997576,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_1344_norm,target_log_ret_horizon_24,24,12.0,spearman,-0.025443132049462594,0.025443132049462594,45073,54
30,30m,ETHUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.025203186770059154,0.025203186770059154,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.025024026803024815,0.025024026803024815,45073,54
30,30m,ETHUSDT,192,True,ret_accel_48_192_z,target_log_ret_horizon_24,24,12.0,spearman,-0.024934781980592506,0.024934781980592506,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_576_norm,target_log_ret_horizon_24,24,12.0,spearman,-0.02241419257047517,0.02241419257047517,45073,54
30,30m,ETHUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_24,24,12.0,spearman,-0.022088442028770396,0.022088442028770396,45073,54
30,30m,ETHUSDT,192,True,log_ret_192_z,target_log_ret_horizon_24,24,12.0,spearman,0.021235900532941124,0.021235900532941124,45073,54
30,30m,ETHUSDT,192,True,volatility_576_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.020707737882321203,0.020707737882321203,45073,54
30,30m,ETHUSDT,192,True,log_ret_48_z,target_log_ret_horizon_24,24,12.0,spearman,-0.0194700743126331,0.0194700743126331,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.018959445227934864,0.018959445227934864,45073,54
30,30m,SOLUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.04371547756982702,0.04371547756982702,45073,54
30,30m,SOLUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0330273865398767,0.0330273865398767,45073,54
30,30m,SOLUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.026112058196449277,0.026112058196449277,45073,54
30,30m,SOLUSDT,192,True,dist_to_low_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.018272028630194833,0.018272028630194833,45073,54
30,30m,SOLUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01731874202991264,0.01731874202991264,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.016963556238390163,0.016963556238390163,45073,54
30,30m,SOLUSDT,192,True,dist_to_low_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.016869728364380245,0.016869728364380245,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.0161021387699428,0.0161021387699428,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.01609605884616221,0.01609605884616221,45073,54
30,30m,SOLUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.015199591928162918,0.015199591928162918,45073,54
30,30m,SOLUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01518998780770221,0.01518998780770221,45073,54
30,30m,SOLUSDT,192,True,log_ret_48_z,target_log_ret_horizon_1,1,0.5,spearman,-0.014275113911091156,0.014275113911091156,45073,54
30,30m,SOLUSDT,192,True,dist_ema_400_z,target_log_ret_horizon_1,1,0.5,spearman,-0.013422723029768076,0.013422723029768076,45073,54
30,30m,SOLUSDT,192,True,dist_ema_800_z,target_log_ret_horizon_1,1,0.5,spearman,-0.013344885436841218,0.013344885436841218,45073,54
30,30m,SOLUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.012827200223233547,0.012827200223233547,45073,54
30,30m,SOLUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.042989340690501705,0.042989340690501705,45073,54
30,30m,SOLUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_3,3,1.5,spearman,-0.03290328030147652,0.03290328030147652,45073,54
30,30m,SOLUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_3,3,1.5,spearman,-0.02755307251269244,0.02755307251269244,45073,54
30,30m,SOLUSDT,192,True,log_ret_48_z,target_log_ret_horizon_3,3,1.5,spearman,-0.020126812845030758,0.020126812845030758,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.019472398322313105,0.019472398322313105,45073,54
30,30m,SOLUSDT,192,True,log_ret_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.019181034050332686,0.019181034050332686,45073,54
30,30m,SOLUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.019106451389218328,0.019106451389218328,45073,54
30,30m,SOLUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_3,3,1.5,spearman,-0.01895742414743574,0.01895742414743574,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.01879282068672197,0.01879282068672197,45073,54
30,30m,SOLUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.018020818080858106,0.018020818080858106,45073,54
30,30m,SOLUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_3,3,1.5,spearman,-0.01780167184063638,0.01780167184063638,45073,54
30,30m,SOLUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.017779157472361248,0.017779157472361248,45073,54
30,30m,SOLUSDT,192,True,dist_to_low_192_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,-0.017135574883744578,0.017135574883744578,45073,54
30,30m,SOLUSDT,192,True,dist_to_low_576_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,-0.01649289444702876,0.01649289444702876,45073,54
30,30m,SOLUSDT,192,True,dist_ema_800_z,target_log_ret_horizon_3,3,1.5,spearman,-0.01628985399367193,0.01628985399367193,45073,54
