interval_minutes,interval_label,target,horizon_bars,horizon_hours,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,abs_mean,abs_median,abs_p75,abs_p95,positive_ratio,one_side_long_success_ratio,one_side_short_success_ratio,abs_move_gt_one_side_cost_ratio,abs_move_gt_round_trip_cost_ratio,abs_mean_to_one_side_cost,std_to_one_side_cost,timestamp_min,timestamp_max,symbol,source_file
30,30m,target_log_ret_horizon_1,1,0.5,45073,-1.6819940610044293e-05,0.006162800322006197,-0.23717064838613958,-0.016583705332710624,-0.008057099650814569,-0.00232355608459919,0.0,0.0023887739038996633,0.007536167253761927,0.01619146395059802,0.1389164352554104,0.0036360469826081706,0.002356947536048345,0.00452911390965575,0.010995845072155768,0.49887959532314247,0.24105340225855834,0.23512967852150954,0.4761830807800679,0.21558360881237104,1.4526000110938193,2.4620374431173553,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,XRPUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_3,3,1.5,45073,-5.0222923112767156e-05,0.01054631071880402,-0.3046960025357229,-0.029713647408476193,-0.014162719025077848,-0.0038854681874561656,0.00012200329424026639,0.003990959135210423,0.013131767127624722,0.028423131460065594,0.33052750031800365,0.006227205301003409,0.003941561338103532,0.007708604627177293,0.019342897885953857,0.500343886583986,0.3304417278636878,0.3219444013045504,0.6523861291682382,0.4103121602733344,2.4877672187922393,4.213248932263442,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,XRPUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_5,5,2.5,45073,-8.399359636204631e-05,0.013544463886631289,-0.33232699386972414,-0.03721450677997458,-0.0184610454482763,-0.004995123862142058,0.00018045655557402462,0.005039674688977751,0.016972312730471065,0.03706618387484107,0.3657705094232176,0.008023674160907117,0.005016565150795643,0.009931204482045724,0.02494674157177502,0.5024737647815766,0.36465289641248644,0.35804139950746566,0.722694295919952,0.5006323075899097,3.2054561535908683,5.411010497413211,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,XRPUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_10,10,5.0,45073,-0.00016823243331879587,0.019077418267985015,-0.34031696687443824,-0.05080739073126023,-0.026570535864278422,-0.007250556472681484,0.0,0.007037776969124578,0.02464487306432905,0.05007636744922107,0.5889140607374272,0.011367045208134644,0.007142294293524235,0.014257787409353821,0.03551504644160437,0.49275619550506955,0.39482617087835287,0.40128236416479934,0.7961085350431523,0.6199720453486566,4.541132189550609,7.621424618622085,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,XRPUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_24,24,12.0,45073,-0.0004042220138171928,0.029179344480430244,-0.36741831368099415,-0.07955676754861597,-0.040596350268616486,-0.011577857989637784,-0.0003192338414981212,0.010814075866538238,0.03931234225978261,0.07832835081045464,0.5929407695798068,0.017774828367360284,0.01122256267462147,0.02269038243305968,0.054828297848217855,0.48887360504071176,0.42360171277705055,0.4425043817806669,0.8661060945577175,0.7423956692476649,7.1010402250351445,11.657142033291201,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,XRPUSDT,crypto_30m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_1,1,1.0,22537,3.384623088360343e-06,0.005800561780459204,-0.07219663042813525,-0.01784896679198522,-0.008200649306319904,-0.002081085998502147,4.5543517333648746e-05,0.0021786919064126467,0.00806726896172479,0.017505028059465584,0.06266755119457072,0.003561461546432177,0.002131336088369684,0.00438848825661003,0.011566947032345624,0.5063673070949993,0.22585082309091717,0.219372587300883,0.44522341039180013,0.21036517726405465,1.4228031448995957,2.3173232213301738,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_3,3,3.0,22537,8.047923220235562e-06,0.009997504624428069,-0.10992358071978901,-0.03085627082672172,-0.014916107575288832,-0.003548606242386706,5.5491274896686456e-05,0.00365791840045537,0.014404415790807642,0.03028726313797574,0.08456236276705463,0.006191269859563898,0.003612354119648793,0.007686454310180784,0.020889747461991678,0.5043262191063584,0.31446066468474065,0.306340684208191,0.6208013488929316,0.38935971957225896,2.4734110174330772,3.9940010120379923,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_5,5,5.0,22537,1.3319619458288937e-05,0.012862026853082274,-0.11686542500328488,-0.04091351600164192,-0.019378836934238274,-0.0045522897377436155,7.222396676781407e-05,0.004753074535003026,0.01959032093452779,0.038411406166712715,0.09450585535332909,0.008064739470353794,0.004665022011046632,0.010273320245054764,0.02742639083015653,0.5048586768425256,0.343878954607978,0.3369570040378045,0.6808359586457825,0.4754403869192883,3.221861736148832,5.1383770448627555,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_10,10,10.0,22537,2.762027082184451e-05,0.018207447031407944,-0.12981732795902817,-0.056988529977995875,-0.028306988740581754,-0.0068129388244297425,-3.0464127328875405e-05,0.006909003627814946,0.028611276821073322,0.055091203927467976,0.12802146667817177,0.011706525645876636,0.006870280088228796,0.015242357985937306,0.039751432067702167,0.49851355548653326,0.3803079380574167,0.38368017038647556,0.7639881084438923,0.5979500377157563,4.6767545536149004,7.27387129108046,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_24,24,24.0,22537,6.919080707582317e-05,0.028802794529016098,-0.2102853352965475,-0.08455252122137245,-0.04508673837695866,-0.012252648827915685,0.00010443436131317653,0.012602467014875674,0.046417988287665954,0.08395702028054754,0.1634398021676243,0.019393652620386774,0.01243313158089691,0.026161838150994123,0.061674880563602666,0.5034831610240937,0.43000399343302126,0.42871722057061723,0.8587212140036384,0.7411811687447308,7.747760176441951,11.506710406247368,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_60m_bybit_TEST.parquet
