bandit_name,method_group,set_name,trial_number,seed,symbol,mode,n_decisions,return_pct,drawdown_abs,trades,profit_factor,is_active,executed_action_1_ratio,constraint_applied_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio,median_time_between_entries,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,BTCUSDT,val_second,,-2.8368725992418353,3.552374510600098,84,0.6460399868852528,True,,,,,,,10.0,5.0,7.023809523809524,4.0,8.0,0.8333333333333334,0.16666666666666666
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,ETHUSDT,val,2000.0,-6.229540310228199,9.761881104504388,189,0.7144458465792196,True,0.5325,0.378,0.378,0.622,0.622,0.62,8.0,4.0,5.62962962962963,4.0,5.0,0.9047619047619048,0.09523809523809523
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,ETHUSDT,val_first,,-0.11636555565754936,2.6821961265698913,88,0.9387725902025208,True,,,,,,,8.0,4.0,6.034090909090909,4.0,6.0,0.8863636363636364,0.11363636363636363
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,ETHUSDT,val_second,,-6.120296671800684,9.178679098508413,101,0.5718822143461179,True,,,,,,,8.0,4.0,5.2772277227722775,4.0,5.0,0.9207920792079208,0.07920792079207921
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,SOLUSDT,val,2000.0,-7.434293578426232,8.934514213412603,176,0.722859182082146,True,0.5085,0.3525,0.35250000000000004,0.6475,0.6475,0.643,8.0,4.0,5.767045454545454,4.0,5.0,0.9034090909090909,0.09659090909090909
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,SOLUSDT,val_first,,-0.8894813176992589,4.824647975476671,77,0.8761713209716679,True,,,,,,,9.0,4.0,6.922077922077922,4.0,7.0,0.8181818181818182,0.18181818181818182
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,SOLUSDT,val_second,,-6.603549600730474,8.934514213412603,99,0.6276618643752213,True,,,,,,,8.0,4.0,4.8686868686868685,4.0,5.0,0.9696969696969697,0.030303030303030304
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,BTCUSDT,val,2000.0,-7.243344584327216,8.022037612742327,148,0.59882838725924,True,0.5445,0.2955,0.2955,0.7045,0.7045,0.703,10.0,4.0,7.358108108108108,4.0,8.0,0.7972972972972973,0.20270270270270271
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,BTCUSDT,val_first,,-2.7338877997104327,4.98504769193927,77,0.6457389769412545,True,,,,,,,10.0,4.0,6.792207792207792,4.0,8.0,0.7792207792207793,0.22077922077922077
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,BTCUSDT,val_second,,-4.636205439496699,5.5476951310658436,70,0.4963987554182935,True,,,,,,,10.0,4.0,7.714285714285714,4.0,7.0,0.8285714285714286,0.17142857142857143
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,ETHUSDT,val,2000.0,-9.24986425197336,10.624366911413418,193,0.630292245216531,True,0.554,0.3855,0.38549999999999995,0.6145,0.6145,0.611,8.0,4.0,5.740932642487047,4.0,6.0,0.9119170984455959,0.08808290155440414
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,ETHUSDT,val_first,,-2.1404707618632113,5.622723844483668,98,0.772429755775493,True,,,,,,,8.0,4.0,5.591836734693878,4.0,5.0,0.9081632653061225,0.09183673469387756
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,ETHUSDT,val_second,,-7.264896475037974,8.939886710845046,94,0.5398519638889023,True,,,,,,,8.0,4.0,5.914893617021277,4.0,7.0,0.9148936170212766,0.0851063829787234
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,SOLUSDT,val,2000.0,-6.8184047942301484,9.623954885442743,204,0.752240052035616,True,0.5325,0.408,0.40800000000000003,0.592,0.592,0.5885,7.0,4.0,5.220588235294118,4.0,5.0,0.9362745098039216,0.06372549019607843
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,SOLUSDT,val_first,,-2.075192739519649,4.909694029733469,90,0.80184297591892,True,,,,,,,8.0,4.0,6.188888888888889,4.0,5.75,0.8777777777777778,0.12222222222222222
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3146,SOLUSDT,val_second,,-4.843728762307942,7.446549674357561,114,0.7196969335242105,True,,,,,,,7.0,4.0,4.456140350877193,4.0,4.0,0.9824561403508771,0.017543859649122806
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,BTCUSDT,val,2000.0,-2.554146511667865,4.893155279489436,164,0.8238197455523445,True,0.5755,0.328,0.32799999999999996,0.672,0.672,0.669,10.0,5.0,7.012195121951219,4.0,8.0,0.8170731707317073,0.18292682926829268
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,BTCUSDT,val_first,,0.5028445359405165,2.981313458783119,82,1.0219635886309049,True,,,,,,,10.0,5.0,6.7317073170731705,4.0,7.0,0.8170731707317073,0.18292682926829268
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,BTCUSDT,val_second,,-3.041696045244957,4.201924600946638,82,0.6205450704519899,True,,,,,,,10.0,5.0,7.2926829268292686,4.0,8.0,0.8170731707317073,0.18292682926829268
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,ETHUSDT,val,2000.0,-3.1374896097988714,7.270899065132685,183,0.838689113838545,True,0.55,0.366,0.366,0.634,0.634,0.631,9.0,4.0,6.0109289617486334,4.0,6.0,0.8797814207650273,0.12021857923497267
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,ETHUSDT,val_first,,-0.017266709085050902,4.524146239562022,88,0.9525187255954438,True,,,,,,,9.0,4.0,6.363636363636363,4.0,6.0,0.8522727272727273,0.14772727272727273
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,ETHUSDT,val_second,,-3.1207617535670584,6.397415791337224,95,0.7695018447237802,True,,,,,,,8.0,4.0,5.684210526315789,4.0,6.0,0.9052631578947369,0.09473684210526316
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,SOLUSDT,val,2000.0,-10.995590971649094,12.616891877612634,191,0.6417399220816548,True,0.5375,0.382,0.382,0.618,0.618,0.613,8.0,4.0,5.628272251308901,4.0,5.5,0.8952879581151832,0.10471204188481675
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,SOLUSDT,val_first,,-3.9027986302285878,5.862634047435755,82,0.7045039821301463,True,,,,,,,9.0,4.5,6.7682926829268295,4.0,9.0,0.7926829268292683,0.2073170731707317
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3142,SOLUSDT,val_second,,-7.380852137543759,9.458073366424625,109,0.5943082758255186,True,,,,,,,7.0,4.0,4.770642201834862,4.0,5.0,0.9724770642201835,0.027522935779816515
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3143,BTCUSDT,val,2000.0,-3.3542075380759373,4.221774452419225,177,0.7875658891093866,True,0.5755,0.354,0.354,0.646,0.646,0.643,9.0,5.0,6.502824858757062,4.0,7.0,0.864406779661017,0.13559322033898305
discounted_lints,corr,z24_a0p5_corr_pruned_top10,2,3143,BTCUSDT,val_first,,-1.2543718132761783,2.9466192034487193,87,0.8259147632811918,True,,,,,,,9.0,5.0,6.379310344827586,4.0,7.0,0.8505747126436781,0.14942528735632185
