feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window,set_type
log_ret_6_z,selected,below_threshold,0.7364828161956649,MACD_hist_pct_z,72,corr_pruning_audit_top30
ret_accel_72_168_z,selected,below_threshold,0.13301333889924674,MACD_hist_pct_z,72,corr_pruning_audit_top30
ADX_30_scaled,selected,below_threshold,0.6577253895613087,ADX_14_scaled,72,corr_pruning_audit_top30
dist_to_low_24_sqrt_z,selected,below_threshold,0.6356475809684651,MOM_pct_14_z,72,corr_pruning_audit_top30
ema_slope_21_z,dropped,too_correlated,0.8602620857118847,MOM_pct_14_z,72,corr_pruning_audit_top30
log_ret_168_z,selected,below_threshold,0.6152762581134549,dist_to_high_168_sqrt_z,72,corr_pruning_audit_top30
MOM_pct_72_z,selected,below_threshold,0.5947403402911238,dist_to_high_168_sqrt_z,72,corr_pruning_audit_top30
log_ret_72_z,dropped,too_correlated,0.9998118687206676,MOM_pct_72_z,72,corr_pruning_audit_top30
ema_slope_9_z,dropped,too_correlated,0.862256764463645,MOM_pct_14_z,72,corr_pruning_audit_top30
ret_accel_24_72_z,selected,below_threshold,0.6569942640249645,MOM_pct_72_z,72,corr_pruning_audit_top30
ema_spread_9_21_z,selected,below_threshold,0.8432865611353959,MOM_pct_14_z,72,corr_pruning_audit_top30
dist_to_high_72_sqrt_z,selected,below_threshold,0.6970235727316606,dist_to_high_168_sqrt_z,72,corr_pruning_audit_top30
volatility_168_sqrt_z,selected,below_threshold,0.31890825785978355,NATR_14_z,72,corr_pruning_audit_top30
dist_ema_9_z,dropped,too_correlated,0.8888511364888743,log_ret_6_z,72,corr_pruning_audit_top30
ADX_72_scaled,selected,below_threshold,0.628396957172972,ADX_30_scaled,72,corr_pruning_audit_top30
ema_spread_21_50_z,selected,below_threshold,0.7839443857773605,MOM_pct_72_z,72,corr_pruning_audit_top30
dist_to_low_72_sqrt_z,selected,below_threshold,0.662466555514879,dist_to_low_24_sqrt_z,72,corr_pruning_audit_top30
volatility_72_sqrt_z,selected,below_threshold,0.6212432432939994,NATR_14_z,72,corr_pruning_audit_top30
price_pos_in_range_72_norm,selected,below_threshold,0.6839561742510372,dist_to_high_168_sqrt_z,72,corr_pruning_audit_top30
RSI_14_bounded,selected,below_threshold,0.8123378714530775,price_pos_in_range_72_norm,72,corr_pruning_audit_top30
ret_accel_6_24_z,selected,below_threshold,0.7401965220837191,ema_spread_9_21_z,72,corr_pruning_audit_top30
RSI_30_bounded,dropped,too_correlated,0.9142941821588704,RSI_14_bounded,72,corr_pruning_audit_top30
bb_pos_20_norm,dropped,too_correlated,0.9069051859176293,RSI_14_bounded,72,corr_pruning_audit_top30
dist_ema_100_z,dropped,too_correlated,0.8938939623229698,ema_spread_21_50_z,72,corr_pruning_audit_top30
ema_spread_50_100_z,selected,below_threshold,0.792649548560201,ema_spread_21_50_z,72,corr_pruning_audit_top30
log_ret_24_z,dropped,too_correlated,0.9146037660691992,ema_spread_9_21_z,72,corr_pruning_audit_top30
dist_ema_21_z,dropped,too_correlated,0.8819652461071273,MOM_pct_14_z,72,corr_pruning_audit_top30
price_pos_in_range_168_norm,selected,below_threshold,0.7612717140622329,price_pos_in_range_72_norm,72,corr_pruning_audit_top30
dist_ema_200_z,dropped,too_correlated,0.8605640023812143,ema_spread_21_50_z,72,corr_pruning_audit_top30
RSI_72_bounded,dropped,too_correlated,0.9043571095401659,price_pos_in_range_168_norm,72,corr_pruning_audit_top30
dist_ema_50_z,dropped,too_correlated,0.9309809007901708,ema_spread_9_21_z,72,corr_pruning_audit_top30
price_pos_in_range_24_norm,dropped,too_correlated,0.8954650233711853,RSI_14_bounded,72,corr_pruning_audit_top30
MOM_pct_30_z,dropped,too_correlated,0.8830151070990994,ema_spread_9_21_z,72,corr_pruning_audit_top30
ema_slope_50_z,dropped,too_correlated,0.9432683447772837,ema_spread_9_21_z,72,corr_pruning_audit_top30
ema_slope_200_z,dropped,too_correlated,0.9011312545941383,ema_spread_21_50_z,72,corr_pruning_audit_top30
ema_spread_100_200_z,selected,below_threshold,0.7978633686637014,ema_spread_50_100_z,72,corr_pruning_audit_top30
range_sqrt_z,selected,first_feature,,,96,corr_pruning_audit_top30
vol_ratio_24_log1p_z,selected,below_threshold,0.6334868173489224,range_sqrt_z,96,corr_pruning_audit_top30
vol_expansion_72_log1p_z,dropped,too_correlated,0.9229803340575983,range_sqrt_z,96,corr_pruning_audit_top30
vol_ratio_72_log1p_z,dropped,too_correlated,0.8877146454878652,vol_ratio_24_log1p_z,96,corr_pruning_audit_top30
vol_expansion_168_log1p_z,dropped,too_correlated,0.9766103403041222,range_sqrt_z,96,corr_pruning_audit_top30
vol_expansion_24_log1p_z,selected,below_threshold,0.8451652685274527,range_sqrt_z,96,corr_pruning_audit_top30
body_sqrt_z,selected,below_threshold,0.6964217270578118,range_sqrt_z,96,corr_pruning_audit_top30
vol_ratio_168_log1p_z,selected,below_threshold,0.8220665067233828,vol_ratio_24_log1p_z,96,corr_pruning_audit_top30
NATR_14_z,selected,below_threshold,0.5244488146341495,range_sqrt_z,96,corr_pruning_audit_top30
dist_to_high_168_sqrt_z,selected,below_threshold,0.16134375314984603,NATR_14_z,96,corr_pruning_audit_top30
log_ret_6_z,selected,below_threshold,0.31995061245407497,dist_to_high_168_sqrt_z,96,corr_pruning_audit_top30
log_ret_168_z,selected,below_threshold,0.6272302051120079,dist_to_high_168_sqrt_z,96,corr_pruning_audit_top30
ADX_14_scaled,selected,below_threshold,0.46669665292873586,NATR_14_z,96,corr_pruning_audit_top30
ret_accel_72_168_z,selected,below_threshold,0.4719568375933415,log_ret_168_z,96,corr_pruning_audit_top30
bb_width_20_sqrt_z,selected,below_threshold,0.6448013039901268,NATR_14_z,96,corr_pruning_audit_top30
ADX_30_scaled,selected,below_threshold,0.656820135835037,ADX_14_scaled,96,corr_pruning_audit_top30
volatility_168_sqrt_z,selected,below_threshold,0.32453165824711827,NATR_14_z,96,corr_pruning_audit_top30
MOM_pct_14_z,selected,below_threshold,0.5979620337861086,log_ret_6_z,96,corr_pruning_audit_top30
ret_accel_24_72_z,selected,below_threshold,0.38540774534525557,ret_accel_72_168_z,96,corr_pruning_audit_top30
ema_slope_21_z,dropped,too_correlated,0.8554753476429724,MOM_pct_14_z,96,corr_pruning_audit_top30
dist_ema_9_z,dropped,too_correlated,0.8857272239425472,log_ret_6_z,96,corr_pruning_audit_top30
dist_to_low_24_sqrt_z,selected,below_threshold,0.6233960018167448,MOM_pct_14_z,96,corr_pruning_audit_top30
MACD_hist_pct_z,selected,below_threshold,0.7434978404939102,MOM_pct_14_z,96,corr_pruning_audit_top30
ema_spread_9_21_z,selected,below_threshold,0.8362710884451864,MOM_pct_14_z,96,corr_pruning_audit_top30
volatility_72_sqrt_z,selected,below_threshold,0.6983729689487079,NATR_14_z,96,corr_pruning_audit_top30
volatility_24_sqrt_z,selected,below_threshold,0.8247183589177108,NATR_14_z,96,corr_pruning_audit_top30
MOM_pct_72_z,selected,below_threshold,0.7073392887024303,ret_accel_24_72_z,96,corr_pruning_audit_top30
log_ret_72_z,dropped,too_correlated,0.9997872669057498,MOM_pct_72_z,96,corr_pruning_audit_top30
ADX_72_scaled,selected,below_threshold,0.6279991358262064,ADX_30_scaled,96,corr_pruning_audit_top30
dist_to_high_72_sqrt_z,selected,below_threshold,0.7013935694165399,ema_spread_9_21_z,96,corr_pruning_audit_top30
ret_accel_6_24_z,selected,below_threshold,0.7492633111882688,ema_spread_9_21_z,96,corr_pruning_audit_top30
ema_slope_9_z,dropped,too_correlated,0.8586301020230791,MOM_pct_14_z,96,corr_pruning_audit_top30
dist_to_low_72_sqrt_z,selected,below_threshold,0.6786989999793259,dist_to_low_24_sqrt_z,96,corr_pruning_audit_top30
ema_slope_200_z,selected,below_threshold,0.796002343702978,MOM_pct_72_z,96,corr_pruning_audit_top30
price_pos_in_range_72_norm,selected,below_threshold,0.7439092939984163,ema_slope_200_z,96,corr_pruning_audit_top30
log_ret_24_z,dropped,too_correlated,0.9170899822899474,ema_spread_9_21_z,96,corr_pruning_audit_top30
RSI_30_bounded,dropped,too_correlated,0.9100731116926918,price_pos_in_range_72_norm,96,corr_pruning_audit_top30
RSI_14_bounded,selected,below_threshold,0.8127281877853588,price_pos_in_range_72_norm,96,corr_pruning_audit_top30
ema_slope_50_z,dropped,too_correlated,0.9420435135695887,ema_spread_9_21_z,96,corr_pruning_audit_top30
MOM_pct_30_z,dropped,too_correlated,0.8899499051866033,ema_spread_9_21_z,96,corr_pruning_audit_top30
bb_pos_20_norm,dropped,too_correlated,0.9073835121609145,RSI_14_bounded,96,corr_pruning_audit_top30
ema_slope_100_z,dropped,too_correlated,0.9557412027088388,ema_slope_200_z,96,corr_pruning_audit_top30
dist_to_low_168_sqrt_z,selected,below_threshold,0.7068607728137264,dist_to_low_72_sqrt_z,96,corr_pruning_audit_top30
