feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,z_window,sample,regime,alpha_out,prev_position
ret_accel_72_168_z,18580,15,0.04596340150699685,0.5453175457481163,0.49988755614251074,0.0007808556042793981,0.04542998960560557,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,1.0,96,early_train,exit,0.5,1
dist_to_high_168_sqrt_z,18580,15,0.024327233584499397,0.5236813778256189,0.49978620583344463,0.0009061377413909077,0.023895171992174224,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,2.0,96,early_train,exit,0.5,1
ADX_72_scaled,18580,15,0.0241119483315394,0.5234660925726589,0.49973648246094626,0.0006528013313993112,0.023729610111712596,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,3.0,96,early_train,exit,0.5,1
MOM_pct_72_z,18580,15,0.02400430570505918,0.5233584499461786,0.49976387678232226,0.00077370107527635,0.02359457316385638,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,4.0,96,early_train,exit,0.5,1
log_ret_72_z,18580,15,0.023896663078579183,0.5232508073196986,0.4997377520955677,0.0007052617825823121,0.02351305522413094,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,5.0,96,early_train,exit,0.5,1
bb_width_20_sqrt_z,18580,15,0.022712594187298207,0.5220667384284177,0.49971855684965205,0.0006144552539597434,0.022348181578765614,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,6.0,96,early_train,exit,0.5,1
MACD_hist_pct_z,18580,15,0.02088266953713669,0.5202368137782561,0.49973593765508645,0.0006587578195483245,0.020500876123169698,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,7.0,96,early_train,exit,0.5,1
dist_ema_100_z,18580,15,0.01980624327233582,0.5191603875134553,0.4997535817894314,0.0005892000405496943,0.019406805724023868,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,8.0,96,early_train,exit,0.5,1
ema_slope_100_z,18580,15,0.019698600645855713,0.5190527448869752,0.49971173119477397,0.000524826747477306,0.019341013692201203,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,9.0,96,early_train,exit,0.5,1
price_pos_in_range_72_norm,18580,15,0.018514531754574848,0.5178686759956943,0.49968391504197485,0.0006623382781022958,0.01818476095371946,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,10.0,96,early_train,exit,0.5,1
volatility_168_sqrt_z,18580,15,0.017115177610333654,0.5164693218514531,0.49969425778045795,0.0005819374342971651,0.01677506407099516,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,11.0,96,early_train,exit,0.5,1
ema_slope_200_z,18580,15,0.016899892357373436,0.5162540365984929,0.4997336380364403,0.0007027658510168681,0.01652039856205262,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,12.0,96,early_train,exit,0.5,1
ema_slope_50_z,18580,15,0.01646932185145311,0.5158234660925726,0.49975860799097743,0.0006833426869275809,0.016064858101595136,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,13.0,96,early_train,exit,0.5,1
ema_spread_21_50_z,18580,15,0.016361679224973114,0.5157158234660926,0.49966144931357287,0.0006680710859018426,0.0160543741525197,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,14.0,96,early_train,exit,0.5,1
MOM_pct_14_z,18580,15,0.016254036598493116,0.5156081808396126,0.4997835420463562,0.0006400553666598915,0.01582463879325635,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,15.0,96,early_train,exit,0.5,1
dist_ema_200_z,18580,15,0.016254036598493005,0.5156081808396125,0.49982956895508207,0.0007550742971216725,0.01577861188453039,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,16.0,96,early_train,exit,0.5,1
dist_to_low_168_sqrt_z,18580,15,0.01496232508073203,0.5143164693218515,0.4997543470940592,0.0006187837207406359,0.014562122227792296,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,17.0,96,early_train,exit,0.5,1
ADX_30_scaled,18580,15,0.014747039827771813,0.5141011840688913,0.4998362472079138,0.0007085721933646515,0.014264936860977462,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,18.0,96,early_train,exit,0.5,1
RSI_30_bounded,18580,15,0.01420882669537138,0.5135629709364908,0.49969099110634707,0.0006244384521869988,0.013871979830143766,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,19.0,96,early_train,exit,0.5,1
ret_accel_24_72_z,18580,15,0.013240043057050621,0.5125941872981701,0.499618436071579,0.0004907850175083108,0.012975751226591059,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,20.0,96,early_train,exit,0.5,1
RSI_14_bounded,18580,15,0.012917115177610294,0.5122712594187298,0.49965498452991597,0.0005070135494232489,0.012616274888813783,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,21.0,96,early_train,exit,0.5,1
dist_to_low_24_sqrt_z,18580,15,0.01248654467169008,0.5118406889128095,0.4996877660501149,0.0006015994371833002,0.012152922862694648,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,22.0,96,early_train,exit,0.5,1
volatility_72_sqrt_z,18580,15,0.012163616792249754,0.5115177610333692,0.4997578751646823,0.0006435489630966358,0.011759885868686926,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,23.0,96,early_train,exit,0.5,1
ema_slope_21_z,18580,15,0.01162540365984921,0.5109795479009687,0.499716900176595,0.0006885943003240892,0.011262647724373687,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,24.0,96,early_train,exit,0.5,1
log_ret_168_z,18580,15,0.01162540365984932,0.5109795479009688,0.4997935783791857,0.0007499627130852891,0.011185969521783079,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,25.0,96,early_train,exit,0.5,1
volatility_24_sqrt_z,18580,15,0.011194833153928885,0.5105489773950483,0.4997048862572326,0.0007101597624183337,0.010844091137815759,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,26.0,96,early_train,exit,0.5,1
ema_spread_100_200_z,18580,15,0.011194833153928885,0.5105489773950483,0.4997736704076117,0.0007555678544002605,0.010775306987436617,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,27.0,96,early_train,exit,0.5,1
ema_slope_9_z,18580,15,0.010764262648008782,0.5101184068891282,0.4997598073683669,0.0006578728362848448,0.010358599520761347,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,28.0,96,early_train,exit,0.5,1
dist_to_high_24_sqrt_z,18580,15,0.009041980624327262,0.5083961248654467,0.49980930221354136,0.000660592943608412,0.008586822651905357,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,29.0,96,early_train,exit,0.5,1
ema_spread_9_21_z,18580,15,0.008719052744887046,0.5080731969860065,0.49966142418376186,0.000592571888099169,0.008411772802244644,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,30.0,96,early_train,exit,0.5,1
ADX_14_scaled,18580,15,0.008396124865446719,0.5077502691065662,0.49967435973452845,0.0005594849532244027,0.008075909372037726,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,31.0,96,early_train,exit,0.5,1
dist_to_low_72_sqrt_z,18580,15,0.008180839612486501,0.507534983853606,0.49981242664669506,0.0007296355366872498,0.007722557206910896,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,32.0,96,early_train,exit,0.5,1
RSI_72_bounded,18580,15,0.007857911733046286,0.5072120559741657,0.49985684186938634,0.0008879750158155836,0.007355214104779406,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,33.0,96,early_train,exit,0.5,1
dist_ema_21_z,18580,15,0.006889128094725527,0.506243272335845,0.49969286374234345,0.0006002500904919757,0.006550408593501533,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,34.0,96,early_train,exit,0.5,1
ema_spread_50_100_z,18580,15,0.006350914962325094,0.5057050592034446,0.49975772518744593,0.0006556885285265526,0.005947334015998618,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,35.0,96,early_train,exit,0.5,1
dist_to_high_72_sqrt_z,18580,15,0.006243272335844985,0.5055974165769644,0.4997271886831176,0.0006853271717048845,0.0058702278938468355,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,36.0,96,early_train,exit,0.5,1
ret_accel_6_24_z,18580,15,0.006135629709364876,0.5054897739504843,0.49980549507203337,0.0007178278288610421,0.005684278878450966,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,37.0,96,early_train,exit,0.5,1
price_pos_in_range_168_norm,18580,15,0.005812701829924549,0.505166846071044,0.49976627839890897,0.0006959349753080602,0.005400567672135037,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1236,618,ok,38.0,96,early_train,exit,0.5,1
dist_ema_9_z,18580,15,0.0054897739504843335,0.5048439181916038,0.4997544427542633,0.000771873286116704,0.005089475437340507,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,39.0,96,early_train,exit,0.5,1
dist_ema_50_z,18580,15,0.005274488697524116,0.5046286329386436,0.4999038267522671,0.0007386600814628828,0.004724806186376496,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,40.0,96,early_train,exit,0.5,1
vol_expansion_72_log1p_z,18580,15,0.004090419806243362,0.5034445640473628,0.4997220137872073,0.0005768102525888733,0.0037225502601554994,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,41.0,96,early_train,exit,0.5,1
MOM_pct_30_z,18580,15,0.003659849300322926,0.5030139935414424,0.4997128180889709,0.0006592105876075325,0.0033011754524714942,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,42.0,96,early_train,exit,0.5,1
log_ret_6_z,18580,15,0.003767491926803035,0.5031216361679225,0.4998440538192127,0.0008324036918005542,0.0032775823487097844,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,43.0,96,early_train,exit,0.5,1
vol_ratio_24_log1p_z,18580,15,0.0031216361679224924,0.502475780409042,0.49972800204001794,0.0006156610314483146,0.002747778369024012,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,44.0,96,early_train,exit,0.5,1
log_ret_24_z,18580,15,0.0029063509149623856,0.5022604951560818,0.4997350666381182,0.0007098245202612715,0.002525428517963668,0.01,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,45.0,96,early_train,exit,0.5,1
vol_ratio_72_log1p_z,18580,15,0.0029063509149622746,0.5022604951560817,0.49975406371231984,0.000658038975580975,0.0025064314437618918,0.0,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,46.0,96,early_train,exit,0.5,1
bb_pos_20_norm,18580,15,0.002691065662002168,0.5020452099031216,0.4998104112666379,0.0008915084253578959,0.002234798636483737,0.05,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,47.0,96,early_train,exit,0.5,1
vol_ratio_168_log1p_z,18580,15,0.00247578040904195,0.5018299246501614,0.49970728293377087,0.0006269419507227138,0.0021226417163905387,0.01,0,0.49935414424111946,0.49935414424111946,0.4503767491926803,9290,9290,1238,619,ok,48.0,96,early_train,exit,0.5,1
