feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
dist_to_high_72_sqrt_z,0.014302989291080972,0.014302989291080972,28080,27,72
volatility_168_sqrt_z,0.01339011860435478,0.01339011860435478,28080,28,72
dist_ema_9_z,-0.012976994344784458,0.012976994344784458,28080,29,72
ADX_72_scaled,0.012959577269609189,0.012959577269609189,28080,30,72
ema_spread_21_50_z,-0.010192945712978648,0.010192945712978648,28080,31,72
dist_to_low_72_sqrt_z,-0.00978952640662665,0.00978952640662665,28080,32,72
volatility_72_sqrt_z,-0.008805810749183424,0.008805810749183424,28080,33,72
price_pos_in_range_72_norm,-0.007511856353530017,0.007511856353530017,28080,34,72
RSI_14_bounded,-0.006921980843728554,0.006921980843728554,28080,35,72
ret_accel_6_24_z,-0.006766533381727399,0.006766533381727399,28080,36,72
RSI_30_bounded,-0.006718546918467768,0.006718546918467768,28080,37,72
bb_pos_20_norm,-0.006534560376711398,0.006534560376711398,28080,38,72
dist_ema_100_z,-0.005501420267725534,0.005501420267725534,28080,39,72
ema_spread_50_100_z,-0.00523286264808156,0.00523286264808156,28080,40,72
log_ret_24_z,0.005112178460317086,0.005112178460317086,28080,41,72
dist_ema_21_z,0.0031443723259420506,0.0031443723259420506,28080,42,72
price_pos_in_range_168_norm,0.0028228708605038256,0.0028228708605038256,28080,43,72
dist_ema_200_z,-0.002761005309364359,0.002761005309364359,28080,44,72
RSI_72_bounded,-0.002688608230667977,0.002688608230667977,28080,45,72
dist_ema_50_z,-0.0025129596963613323,0.0025129596963613323,28080,46,72
price_pos_in_range_24_norm,0.002488444763746158,0.002488444763746158,28080,47,72
MOM_pct_30_z,0.0024811310684262067,0.0024811310684262067,28080,48,72
ema_slope_50_z,0.0023065171937071962,0.0023065171937071962,28080,49,72
ema_slope_200_z,0.0021140546506432573,0.0021140546506432573,28080,50,72
ema_spread_100_200_z,0.0008352506881567672,0.0008352506881567672,28080,51,72
dist_to_high_24_sqrt_z,0.0005707616098409925,0.0005707616098409925,28080,52,72
dist_to_low_168_sqrt_z,0.0005450238587698067,0.0005450238587698067,28080,53,72
