z_window,feature,stable_hie_rank_within_z,stability_count,stability_rate,median_union_rank,median_best_hie_norm,full_train_union_rank,selected_in_hybrid,source_in_hybrid,is_hie_incremental_pool,strict_excluded_by_raw_corr_filter,hie_attribution_category,corr_raw_rank,abs_spearman_corr,in_corr_pruned,corr_prune_decision_in_audit,corr_prune_reason_in_audit,corr_prune_max_corr_with_selected,corr_prune_most_correlated_selected_feature,corr_pruning_removed_hie_candidate,scenario
72,price_pos_in_range_72_norm,9,2,0.6666666666666666,9.5,0.02143715128811899,6.0,False,,True,False,not_in_corr_pruned_raw_rank_available,34,0.007511856353530017,False,selected,below_threshold,0.6839561742510372,dist_to_high_168_sqrt_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,ema_spread_21_50_z,10,2,0.6666666666666666,11.0,0.022854372418068758,,False,,True,False,not_in_corr_pruned_raw_rank_available,31,0.010192945712978648,False,selected,below_threshold,0.7839443857773605,MOM_pct_72_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,MACD_hist_pct_z,11,2,0.6666666666666666,11.5,0.022303595278866634,,False,,False,False,shared_with_corr_pruned,14,0.025699961676764093,True,selected,below_threshold,0.7640598975272864,MOM_pct_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,MOM_pct_72_z,1,3,1.0,2.0,0.029557403739627064,,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,27,0.013383669515243099,False,selected,below_threshold,0.7073392887024303,ret_accel_24_72_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,log_ret_72_z,2,3,1.0,4.0,0.03006501339783102,,False,,True,False,corr_ranked_but_removed_by_pruning,28,0.013374041269397346,False,dropped,too_correlated,0.9997872669057498,MOM_pct_72_z,True,hybrid_top10_corr5_hie5_alpha0p5
96,volatility_168_sqrt_z,3,3,1.0,10.0,0.02235788076494133,6.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,17,0.01927064445346121,False,selected,below_threshold,0.32453165824711827,NATR_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,ret_accel_24_72_z,4,3,1.0,13.0,0.015739041221991656,4.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,19,0.018823937227996208,False,selected,below_threshold,0.38540774534525557,ret_accel_72_168_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,ret_accel_72_168_z,5,2,0.6666666666666666,3.0,0.036165335250473774,2.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,14,0.027282312824524223,False,selected,below_threshold,0.4719568375933415,log_ret_168_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,ema_spread_100_200_z,6,2,0.6666666666666666,4.5,0.02349134094476013,5.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,50,0.0014165048796924457,False,not_reached_by_corr_pruning_audit,not_reached_by_corr_pruning_audit,,,False,hybrid_top10_corr5_hie5_alpha0p5
96,dist_to_high_168_sqrt_z,7,2,0.6666666666666666,5.5,0.022839113105738468,7.0,False,,False,False,shared_with_corr_pruned,10,0.029024354254826364,True,selected,below_threshold,0.16134375314984603,NATR_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,MACD_hist_pct_z,8,2,0.6666666666666666,7.5,0.025780358478991405,,False,,True,False,not_in_corr_pruned_raw_rank_available,23,0.01614130093708627,False,selected,below_threshold,0.7434978404939102,MOM_pct_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
96,dist_to_high_24_sqrt_z,9,2,0.6666666666666666,9.5,0.013571947151040459,,False,,True,False,not_in_corr_pruned_raw_rank_available,52,0.0009699855035884213,False,not_reached_by_corr_pruning_audit,not_reached_by_corr_pruning_audit,,,False,hybrid_top10_corr5_hie5_alpha0p5
96,price_pos_in_range_72_norm,10,2,0.6666666666666666,12.5,0.0223035950287927,9.0,False,,True,False,not_in_corr_pruned_raw_rank_available,35,0.007549854456414929,False,selected,below_threshold,0.7439092939984163,ema_slope_200_z,False,hybrid_top10_corr5_hie5_alpha0p5
