z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
96,ret_accel_24_72_z,3,13.0,12.0,10,8.0,13.5,0.015739041221991656,0.01901339569869977,0.0,1.0,2,0,1,early_train|late_train|mid_train,4.0,3.0,0.006927388203489926,0.0,2.0,4.0,3.0,0.006927388203489926,2.0,4,True,1.0,14
96,ret_accel_72_168_z,2,3.0,3.0,1,2.0,4.0,0.036165335250473774,0.036165335250473774,0.0,2.0,0,1,1,early_train|late_train,2.0,1.0,0.009713108455845332,0.0,2.0,2.0,1.0,0.009713108455845332,2.0,5,True,0.6666666666666666,14
96,ema_spread_100_200_z,2,4.5,4.5,2,2.5,6.75,0.02349134094476013,0.02349134094476013,0.0,2.0,1,1,0,late_train|mid_train,5.0,3.0,0.008968579836533153,0.0,1.0,5.0,3.0,0.008968579836533153,1.0,6,True,0.6666666666666666,14
96,dist_to_high_168_sqrt_z,2,5.5,5.5,2,3.5,8.5,0.022839113105738468,0.022839113105738468,0.0,1.5,0,2,0,early_train|late_train,7.0,4.0,0.007776284717077364,0.0,2.0,7.0,4.0,0.007776284717077364,2.0,7,True,0.6666666666666666,14
96,MACD_hist_pct_z,2,7.5,7.5,6,5.0,17.0,0.025780358478991405,0.025780358478991405,0.0,1.5,1,1,0,early_train|late_train,,,,,,10000.0,10000.0,-inf,0.0,8,True,0.6666666666666666,14
96,dist_to_high_24_sqrt_z,2,9.5,9.5,8,6.5,17.25,0.013571947151040459,0.013571947151040459,0.0,1.0,1,1,0,early_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,9,True,0.6666666666666666,14
96,price_pos_in_range_72_norm,2,12.5,12.5,11,8.5,12.75,0.0223035950287927,0.0223035950287927,0.0,1.5,0,2,0,early_train|late_train,9.0,5.0,0.00804763374319406,0.0,1.0,9.0,5.0,0.00804763374319406,1.0,10,True,0.6666666666666666,14
96,volatility_72_sqrt_z,1,1.0,1.0,1,1.0,3.5,0.03226722895124001,0.03226722895124001,0.0,2.0,1,0,0,late_train,14.0,9.0,0.007505542503962626,0.0,1.0,14.0,9.0,0.007505542503962626,1.0,11,False,0.3333333333333333,14
96,ADX_30_scaled,1,3.0,3.0,3,2.0,7.5,0.03142241859362466,0.03142241859362466,0.0,2.0,1,0,0,late_train,3.0,2.0,0.010839245164116496,0.0,1.0,3.0,2.0,0.010839245164116496,1.0,12,False,0.3333333333333333,14
96,ADX_72_scaled,1,3.0,3.0,3,2.0,2.5,0.023729610111712596,0.023729610111712596,0.0,2.0,1,0,0,early_train,8.0,5.0,0.006233511685692528,0.0,2.0,8.0,5.0,0.006233511685692528,2.0,13,False,0.3333333333333333,14
