feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
log_ret_24_z,44.0,-6.020438516052273e-06,0.56,0.5485653560042508,0.5485713764427669,21.0,0.010705038088808627,0.0,0.5120085015940489,0.5013034635052402,21.0,32.5,0.010705038088808627,0.0,0,exit,24,24,early_train,0.5
volatility_24_sqrt_z,52.0,-1.974362308188038e-05,0.59,0.5485653560042508,0.5485850996273327,22.0,0.010258885671280416,0.0,0.5114771519659935,0.5012182662947131,22.0,37.0,0.010258885671280416,0.0,0,exit,25,24,early_train,0.5
ret_accel_24_72_z,22.0,3.325625894534667e-05,0.42,0.5485653560042507,0.5485320997453054,52.0,0.0007956702757204726,0.11,0.502125398512221,0.5013297282365006,22.0,37.0,0.0007956702757204726,0.11,0,entry,26,24,early_train,0.5
ema_slope_50_z,33.0,1.160815307355012e-05,0.45,0.5485653560042507,0.5485537478511772,23.0,0.010256398277145529,0.0,0.5115834218916047,0.5013270236144591,23.0,28.0,0.010256398277145529,0.0,0,exit,27,24,early_train,0.5
vol_ratio_168_log1p_z,23.0,3.0040780520157462e-05,0.43,0.5485653560042508,0.5485353152237307,40.0,0.0039422979716937645,0.01,0.5052072263549415,0.5012649283832478,23.0,31.5,0.0039422979716937645,0.01,0,entry,28,24,early_train,0.5
log_ret_6_z,24.0,2.8036513624929427e-05,0.44,0.5485653560042507,0.5485373194906258,54.0,-0.0003782933228468899,0.76,0.5009564293304994,0.5013347226533463,24.0,39.0,2.8036513624929427e-05,0.44,0,entry,29,24,early_train,0.5
vol_ratio_72_log1p_z,25.0,2.4659005407379198e-05,0.42,0.5485653560042507,0.5485406969988433,41.0,0.003080792292022183,0.0,0.5043570669500531,0.5012762746580309,25.0,33.0,0.003080792292022183,0.0,0,entry,30,24,early_train,0.5
ema_spread_21_50_z,31.0,1.447857905945149e-05,0.48,0.5485653560042507,0.5485508774251913,26.0,0.007713779231071194,0.0,0.5090329436769393,0.5013191644458681,26.0,28.5,0.007713779231071194,0.0,0,exit,31,24,early_train,0.5
vol_expansion_72_log1p_z,26.0,2.37046680098274e-05,0.45,0.5485653560042509,0.5485416513362411,36.0,0.0055173754909829675,0.0,0.5068012752391073,0.5012838997481244,26.0,31.0,0.0055173754909829675,0.0,0,entry,32,24,early_train,0.5
dist_to_high_168_sqrt_z,38.0,2.437114846598476e-06,0.44,0.5485653560042508,0.5485629188894042,27.0,0.007692312685574243,0.0,0.5090329436769394,0.5013406309913652,27.0,32.5,0.007692312685574243,0.0,0,exit,33,24,early_train,0.5
dist_ema_9_z,27.0,2.1624113963336633e-05,0.45,0.5485653560042507,0.5485437318902874,46.0,0.002680105075094197,0.0,0.5039319872476088,0.5012518821725146,27.0,36.5,0.002680105075094197,0.0,0,entry,34,24,early_train,0.5
ADX_14_scaled,34.0,1.0369322744674392e-05,0.48,0.5485653560042507,0.548554986681506,28.0,0.006659585593941086,0.0,0.5079702444208288,0.5013106588268877,28.0,31.0,0.006659585593941086,0.0,0,exit,35,24,early_train,0.5
vol_ratio_24_log1p_z,28.0,1.741727156345796e-05,0.47,0.5485653560042508,0.5485479387326874,50.0,0.0017547958056544077,0.03,0.5030818278427205,0.5013270320370661,28.0,39.0,0.0017547958056544077,0.03,0,entry,36,24,early_train,0.5
vol_expansion_168_log1p_z,29.0,1.581638328851387e-05,0.5,0.5485653560042507,0.5485495396209622,31.0,0.006322023485280215,0.0,0.5075451647183846,0.5012231412331044,29.0,30.0,0.006322023485280215,0.0,0,entry,37,24,early_train,0.5
price_pos_in_range_168_norm,47.0,-7.046575619451545e-06,0.54,0.5485653560042507,0.5485724025798702,30.0,0.006375429039731539,0.0,0.5076514346439956,0.5012760056042641,30.0,38.5,0.006375429039731539,0.0,0,exit,38,24,early_train,0.5
ret_accel_6_24_z,30.0,1.5163364452730477e-05,0.5,0.5485653560042508,0.5485501926397981,45.0,0.00270934271406853,0.02,0.504144527098831,0.5014351843847624,30.0,37.5,0.00270934271406853,0.02,0,entry,39,24,early_train,0.5
volatility_168_sqrt_z,50.0,-1.737349353991835e-05,0.56,0.5485653560042508,0.5485827294977907,32.0,0.00587799651843568,0.0,0.5072263549415514,0.5013483584231158,32.0,41.0,0.00587799651843568,0.0,0,exit,40,24,early_train,0.5
price_pos_in_range_24_norm,32.0,1.422556316788004e-05,0.49,0.5485653560042508,0.548551130441083,35.0,0.005579091453114193,0.0,0.5069075451647184,0.5013284537116042,32.0,33.5,0.005579091453114193,0.0,0,entry,41,24,early_train,0.5
MOM_pct_30_z,35.0,5.8232788421319626e-06,0.48,0.5485653560042508,0.5485595327254087,33.0,0.005817402953064099,0.0,0.5071200850159405,0.5013026820628764,33.0,34.0,0.005817402953064099,0.0,0,exit,42,24,early_train,0.5
dist_to_low_72_sqrt_z,42.0,-4.213587374346517e-06,0.52,0.5485653560042507,0.5485695695916251,34.0,0.005682758528043563,0.0,0.5070138150903294,0.5013310565622858,34.0,38.0,0.005682758528043563,0.0,0,exit,43,24,early_train,0.5
range_sqrt_z,36.0,5.366416249819039e-06,0.46,0.5485653560042507,0.5485599895880009,49.0,0.0020181045035162493,0.02,0.5032943676939425,0.5012762631904263,36.0,42.5,0.0020181045035162493,0.02,0,entry,44,24,early_train,0.5
dist_to_high_72_sqrt_z,41.0,-4.114698165191832e-06,0.46,0.5485653560042507,0.5485694707024159,37.0,0.00527356635011933,0.0,0.5064824654622742,0.5012088991121548,37.0,39.0,0.00527356635011933,0.0,0,exit,45,24,early_train,0.5
dist_to_low_168_sqrt_z,37.0,5.207571410204004e-06,0.49,0.5485653560042508,0.5485601484328406,51.0,0.001510909903884472,0.01,0.5027630180658873,0.5012521081620028,37.0,44.0,0.001510909903884472,0.01,0,entry,46,24,early_train,0.5
vol_expansion_24_log1p_z,45.0,-6.099815082816207e-06,0.55,0.5485653560042507,0.5485714558193335,38.0,0.0045811590289629445,0.0,0.5059511158342189,0.501369956805256,38.0,41.5,0.0045811590289629445,0.0,0,exit,47,24,early_train,0.5
bb_pos_20_norm,53.0,-2.1814985481483085e-05,0.54,0.5485653560042508,0.5485871709897323,39.0,0.004377353031087772,0.0,0.5057385759829968,0.501361222951909,39.0,46.0,0.004377353031087772,0.0,0,exit,48,24,early_train,0.5
ret_accel_72_168_z,40.0,-1.7770371605330126e-06,0.5,0.5485653560042507,0.5485671330414112,44.0,0.0027272572293799424,0.0,0.5040382571732199,0.50131099994384,40.0,42.0,0.0027272572293799424,0.0,0,entry,49,24,early_train,0.5
MOM_pct_72_z,46.0,-6.547948606883125e-06,0.58,0.5485653560042509,0.5485719039528578,42.0,0.0028868386184601746,0.0,0.504144527098831,0.5012576884803708,42.0,44.0,0.0028868386184601746,0.0,0,exit,50,24,early_train,0.5
log_ret_72_z,43.0,-5.735714379229151e-06,0.53,0.5485653560042507,0.5485710917186299,43.0,0.0027689411773473838,0.0,0.5041445270988311,0.5013755859214837,43.0,43.0,0.0027689411773473838,0.0,0,both_tie,51,24,early_train,0.5
NATR_14_z,51.0,-1.8096330330896748e-05,0.56,0.5485653560042507,0.5485834523345816,47.0,0.0025021606947769337,0.03,0.5038257173219979,0.501323556627221,47.0,49.0,0.0025021606947769337,0.03,0,exit,52,24,early_train,0.5
volatility_72_sqrt_z,49.0,-1.6243827677731026e-05,0.52,0.5485653560042507,0.5485815998319284,48.0,0.00220660293432251,0.02,0.5035069075451646,0.5013003046108421,48.0,48.5,0.00220660293432251,0.02,0,exit,53,24,early_train,0.5
body_sqrt_z,54.0,-2.293245894080531e-05,0.53,0.5485653560042507,0.5485882884631915,53.0,0.0005171367307857944,0.12,0.5018065887353877,0.501289452004602,53.0,53.5,0.0005171367307857944,0.12,0,exit,54,24,early_train,0.5
