number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
16,-2.425771630875508,1.9222588589078244,0.007561403120555151,200,1.0,"[-26.0, 0.0]",0.0,-26.0,0.8245,0.5,-2.425771630875508,-2.425771630875508,-2.425771630875508,-2.425771630875508,0.0,-3.2467805388820175,-3.2467805388820175,0.0,0.1755,-3.206566118883884,0.037255093144021124,-3.2467805388820175,10.210526315789474,4.0,8.175197061614004,76.0,0.7007352236407638,10.0,263.0,200.0,1,dro_minimax_median,-2.425771630875508,-2.425771630875508,-3.2467805388820175,8.175197061614004,76.0,0.7007352236407638,263.0,4.0,8.0,0.995,3142,0.21,0.79,True,COMPLETE
17,-3.2256236338826993,5.703764624771631,0.02717549849145953,375,1.0,"[-43.0, 0.0]",0.0,-43.0,0.7865,0.5,-3.2256236338826993,-3.2256236338826993,-3.2256236338826993,-3.2256236338826993,0.0,-4.252390454372228,-4.252390454372228,0.0,0.21350000000000002,-4.353715533185287,-0.14532317241411352,-4.252390454372228,9.096774193548388,4.0,7.31546696923081,93.0,0.8041646340519416,9.0,321.0,375.0,1,dro_minimax_median,-3.2256236338826993,-3.2256236338826993,-4.252390454372228,7.31546696923081,93.0,0.8041646340519416,321.0,4.0,9.0,0.995,3142,0.24528301886792453,0.7547169811320755,True,COMPLETE
18,-2.338243985895235,5.3415861185200235,0.023615702805810167,225,1.0,"[-46.0, 0.0]",0.0,-46.0,0.7805,0.5,-2.338243985895235,-2.338243985895235,-2.338243985895235,-2.338243985895235,0.0,-3.066636078977414,-3.066636078977414,0.0,0.21950000000000003,-3.2329324050175114,-0.15306770664869815,-3.066636078977414,8.522935779816514,4.0,9.893764410454454,96.0,0.8213038613189975,8.0,323.0,225.0,1,dro_minimax_median,-2.338243985895235,-2.338243985895235,-3.066636078977414,9.893764410454454,96.0,0.8213038613189975,323.0,4.0,5.0,0.995,3142,0.1651376146788991,0.8348623853211009,True,COMPLETE
19,-3.0712987058108343,3.4382678329996157,0.006031924258403178,375,1.0,"[-26.0, 0.0]",0.0,-26.0,0.8305,0.5,-3.0712987058108343,-3.0712987058108343,-3.0712987058108343,-3.0712987058108343,0.0,-4.25445391973106,-4.25445391973106,0.0,0.16949999999999998,-3.790384309739514,0.47816693594984194,-4.25445391973106,8.982758620689655,4.0,8.078074061973972,76.0,0.6738773716795153,13.5,276.0,375.0,1,dro_minimax_median,-3.0712987058108343,-3.0712987058108343,-4.25445391973106,8.078074061973972,76.0,0.6738773716795153,276.0,4.0,6.0,0.995,3142,0.20689655172413793,0.7931034482758621,True,COMPLETE
20,-1.71607730055719,0.5452918549631313,0.006451346362739362,350,1.0,"[-12.0, 0.0]",0.0,-12.0,0.8565,0.5,-1.71607730055719,-1.71607730055719,-1.71607730055719,-1.71607730055719,0.0,-2.2489775229877123,-2.2489775229877123,0.0,0.14349999999999996,-2.3694102647385216,-0.1173766332656238,-2.2489775229877123,9.629032258064516,4.0,6.687417756109449,62.0,0.821965938644784,13.0,232.0,350.0,1,dro_minimax_median,-1.71607730055719,-1.71607730055719,-2.2489775229877123,6.687417756109449,62.0,0.821965938644784,232.0,4.0,8.5,0.995,3142,0.23232323232323232,0.7676767676767676,True,COMPLETE
21,-2.707836135639974,1.8143306236104118,0.02152705412998302,400,1.0,"[-34.0, 0.0]",0.0,-34.0,0.8185,0.5,-2.707836135639974,-2.707836135639974,-2.707836135639974,-2.707836135639974,0.0,-3.751159479354682,-3.751159479354682,0.0,0.1815,-3.376205834378036,0.4221338955041509,-3.751159479354682,8.456692913385826,4.0,7.05242377852141,84.0,0.7139683539012427,9.0,301.0,400.0,1,dro_minimax_median,-2.707836135639974,-2.707836135639974,-3.751159479354682,7.05242377852141,84.0,0.7139683539012427,301.0,4.0,6.5,0.995,3142,0.1889763779527559,0.8110236220472441,True,COMPLETE
22,-2.3944279314997177,0.619913217505561,0.026786359734793035,425,1.0,"[-28.0, 0.0]",0.0,-28.0,0.7705,0.5,-2.3944279314997177,-2.3944279314997177,-2.3944279314997177,-2.3944279314997177,0.0,-3.335506631110411,-3.335506631110411,0.0,0.22950000000000004,-2.933449337812055,0.4288081673323618,-3.335506631110411,9.236842105263158,4.0,6.817432367871923,78.0,0.8226891909856535,8.0,307.0,425.0,1,dro_minimax_median,-2.3944279314997177,-2.3944279314997177,-3.335506631110411,6.817432367871923,78.0,0.8226891909856535,307.0,4.0,7.0,0.995,3142,0.17543859649122806,0.8245614035087719,True,COMPLETE
23,-1.28689224327303,1.5023632290078865,0.015432585048999768,325,1.0,"[-33.0, 0.0]",0.0,-33.0,0.7925,0.5,-1.28689224327303,-1.28689224327303,-1.28689224327303,-1.28689224327303,0.0,-1.3333108105374618,-1.3333108105374618,0.0,0.20750000000000002,-2.4563950739999285,-1.3333108105374618,-1.1476365414797352,8.077669902912621,4.0,5.697271587107711,83.0,0.8248506479551385,9.0,302.0,325.0,1,dro_minimax_median,-1.28689224327303,-1.28689224327303,-1.3333108105374618,5.697271587107711,83.0,0.8248506479551385,302.0,4.0,6.0,0.995,3142,0.1650485436893204,0.8349514563106796,True,COMPLETE
24,-3.9658213209020374,1.9983680856275587,0.16627193136965635,175,1.0,"[-60.0, 0.0]",0.0,-60.0,0.7565,0.5,-3.9658213209020374,-3.9658213209020374,-3.9658213209020374,-3.9658213209020374,0.0,-4.249914145208233,-4.249914145208233,0.0,0.24350000000000005,-7.210097252988706,-3.113542847983449,-4.249914145208233,8.933884297520661,4.0,8.882994913798981,110.0,0.6216043022361452,10.0,352.0,175.0,1,dro_minimax_median,-3.9658213209020374,-3.9658213209020374,-4.249914145208233,8.882994913798981,110.0,0.6216043022361452,352.0,4.0,10.0,0.995,3142,0.256198347107438,0.743801652892562,True,COMPLETE
25,-2.35470856413989,2.3852298305647235,0.015189890866752244,300,1.0,"[-32.0, 0.0]",0.0,-32.0,0.8085,0.5,-2.35470856413989,-2.35470856413989,-2.35470856413989,-2.35470856413989,0.0,-2.527567658404776,-2.527567658404776,0.0,0.1915,-4.330105419950259,-1.8361312813452324,-2.527567658404776,8.105263157894736,4.0,8.39846383848074,82.0,0.7359804297928032,9.0,299.0,300.0,1,dro_minimax_median,-2.35470856413989,-2.35470856413989,-2.527567658404776,8.39846383848074,82.0,0.7359804297928032,299.0,4.0,5.5,0.995,3142,0.18947368421052632,0.8105263157894737,True,COMPLETE
