seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8019,3,-1.9758060464081524,0.5,-2.772342143626686,0.4138022452474484,-2.772342143626686,-2.3254268077401976,-4.706951616290822,7.460972704268309,9.38481866016554,0.7447613385244559,419,100,0.5383333333333333,0.14433333333333334,0.29800000000000004,0.702,1.0,0.995,4.0,6.543624161073826,4.0,6.0,0.8590604026845637,0.14093959731543623,9.0,8019,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8020,3,-2.0921142823328056,0.5,-3.0717597395070775,0.8468220891900099,-3.0717597395070775,-2.214165429234427,-3.587784442890307,6.609809328552274,9.704520785944638,0.7892865966132785,410,99,0.5339999999999999,0.142,0.3075,0.6925,1.0,0.995,4.0,6.525316455696203,4.0,7.0,0.8481012658227848,0.1518987341772152,9.0,8020,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8021,3,-3.2861064355493665,0.5,-4.463420603217305,0.24583606745444872,-4.463420603217305,-4.174584172144676,-6.182572799272279,9.288586240906572,11.306859036920368,0.692061399390846,415,96,0.5393333333333333,0.14216666666666666,0.31200000000000006,0.688,1.0,0.995,4.0,6.448717948717949,4.0,6.0,0.8650306748466258,0.13496932515337423,9.0,8021,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8022,3,-2.677238525508637,0.5,-3.5118378052177586,-0.17344068638127283,-3.5118378052177586,-3.648349014019503,-5.7732028469849155,9.112141197614609,10.63548459831437,0.7575979618254062,425,101,0.5265,0.15416666666666667,0.32399999999999995,0.676,1.0,0.995,4.0,6.228395061728395,4.0,6.0,0.8641975308641975,0.13580246913580246,9.0,8022,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8023,3,-2.691853473017638,0.5,-3.799995936480331,0.6325739173704418,-3.799995936480331,-3.164653884765615,-3.9536602829944867,7.379515207094078,9.774691053045547,0.7975272435825568,402,92,0.5375,0.13966666666666666,0.3055,0.6945,1.0,0.995,4.0,6.3881578947368425,4.0,6.0,0.8607594936708861,0.13924050632911392,9.0,8023,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8024,3,-2.4020284632463254,0.5,-3.514644022743441,0.9358182152450212,-3.514644022743441,-2.598536498440503,-4.815682478853223,9.189902043486963,9.193606460123249,0.7456071122996243,401,99,0.5346666666666666,0.13566666666666669,0.30000000000000004,0.7,1.0,0.995,4.0,6.75,4.0,7.0,0.8355263157894737,0.16447368421052633,9.0,8024,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8000,3,-3.262601880735325,0.5,-4.308452916443517,-0.1250487736107512,-4.308452916443517,-4.400543985720277,-6.364495506222023,9.533553174473418,9.88882324899729,0.7362716104734714,412,94,0.5343333333333333,0.147,0.2955,0.7045,1.0,0.995,4.0,6.551020408163265,4.0,6.0,0.8707482993197279,0.1292517006802721,9.0,8000,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8001,3,-2.2077398881958827,0.5,-3.2500448208163815,0.9191749096656135,-3.2500448208163815,-2.3237755419319237,-4.359357643113382,8.102502875468131,9.744590646364237,0.7663825960625583,414,95,0.5363333333333334,0.146,0.31399999999999995,0.686,1.0,0.995,4.0,6.382165605095541,4.0,6.0,0.8662420382165605,0.1337579617834395,8.0,8001,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8002,3,-3.3710548062821646,0.5,-4.583570363887428,0.26649186653362467,-4.583570363887428,-4.275283137558546,-7.424807881448681,9.91528452853403,9.975775392987751,0.6987071121039103,412,94,0.5465,0.1396666666666667,0.30000000000000004,0.7,1.0,0.995,4.0,6.833333333333333,4.0,6.0,0.84,0.16,9.0,8002,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8003,3,-2.49660914971654,0.5,-3.5827724814814594,0.7618808455782186,-3.5827724814814594,-2.8499207198318373,-3.8300113660496904,7.65559906888792,7.981824628632827,0.8172021490538318,418,104,0.5196666666666667,0.155,0.30000000000000004,0.7,1.0,0.995,4.0,6.553333333333334,4.0,5.75,0.8466666666666667,0.15333333333333332,9.0,8003,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8004,3,-2.291981027651767,0.5,-3.4239101403820142,1.1038063105389757,-3.4239101403820142,-2.334952838974199,-4.091389149524827,6.9186501381122145,9.43110076391852,0.774714338292811,410,92,0.5366666666666666,0.147,0.3135,0.6865,1.0,0.995,4.0,6.253086419753086,4.0,6.0,0.8765432098765432,0.12345679012345678,9.0,8004,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8005,3,-2.448514791013979,0.5,-3.2204195751535103,-0.1328004385953855,-3.2204195751535103,-3.292205819697832,-5.139145376243048,8.405402788663885,10.720079763356837,0.74224796345202,405,94,0.5415,0.14066666666666666,0.30800000000000005,0.692,1.0,0.995,4.0,6.528662420382165,4.0,7.0,0.8407643312101911,0.1592356687898089,9.0,8005,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8006,3,-2.531993257128171,0.5,-3.999281808667476,1.8698723974897433,-3.999281808667476,-2.172920308689182,-1.8447954583340809,8.704004160037881,10.613001629214935,0.8565727855917922,395,93,0.5463333333333332,0.13033333333333333,0.28600000000000003,0.714,1.0,0.995,4.0,7.062937062937063,4.0,6.5,0.8391608391608392,0.16083916083916083,9.0,8006,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8007,3,-3.532134296037862,0.5,-4.480162590435174,-0.6880494128459258,-4.480162590435174,-5.073017243046489,-7.378381188856375,10.795468033061184,12.568754958707029,0.7140332149034846,398,93,0.5445,0.13833333333333334,0.29200000000000004,0.708,1.0,0.995,4.0,6.732876712328767,4.0,7.0,0.8301886792452831,0.16981132075471697,9.0,8007,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8008,3,-2.2805883723794484,0.5,-2.977549854518872,-0.18970392596117844,-2.977549854518872,-3.117652708161689,-5.06382863910515,7.9145321437646405,9.571027228412332,0.74168695726747,405,92,0.5401666666666666,0.14033333333333334,0.3095,0.6905,1.0,0.995,4.0,6.433962264150943,4.0,6.0,0.8553459119496856,0.14465408805031446,9.0,8008,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8009,3,-3.104412507534279,0.5,-4.345895588184863,0.6200367344174729,-4.345895588184863,-3.703967260346294,-4.91110106574939,7.165871209211694,11.424731926105347,0.7291229610219943,401,93,0.5353333333333333,0.13933333333333334,0.28800000000000003,0.712,1.0,0.995,4.0,6.826388888888889,4.0,6.0,0.8472222222222222,0.1527777777777778,9.0,8009,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8010,3,-3.0043114005301903,0.5,-4.176801219461457,0.513158056263611,-4.176801219461457,-3.6532717135813257,-4.698086977041271,8.806554630638674,10.593636829619623,0.7883520459054726,422,96,0.5326666666666667,0.154,0.31200000000000006,0.688,1.0,0.995,4.0,6.391025641025641,4.0,6.0,0.8782051282051282,0.12179487179487179,8.0,8010,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8011,3,-2.198861374913561,0.5,-3.1849964806334725,0.7595439422461733,-3.1849964806334725,-2.4040869128363527,-5.6765267315365575,8.361638983941045,10.85281783073313,0.7502960697619182,410,97,0.5393333333333333,0.137,0.29600000000000004,0.704,1.0,0.995,4.0,6.5608108108108105,4.0,6.0,0.8581081081081081,0.14189189189189189,9.0,8011,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8012,3,-2.3756469854761604,0.5,-3.452661939554576,0.8553978767590861,-3.452661939554576,-2.5920650841673387,-5.086795827342671,8.981062246426873,9.719938293166841,0.758212376678502,409,97,0.5413333333333333,0.14183333333333334,0.31200000000000006,0.688,1.0,0.995,4.0,6.4743589743589745,4.0,6.0,0.8589743589743589,0.14102564102564102,8.0,8012,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8013,3,-2.855250564520489,0.5,-3.880175533604843,0.2195243427325725,-3.880175533604843,-3.6252055990371104,-6.048070763519742,8.83858484324752,10.53497475783004,0.7016718934206339,406,94,0.547,0.1376666666666667,0.30400000000000005,0.696,1.0,0.995,4.0,6.5,4.0,6.0,0.85,0.15,9.0,8013,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8014,3,-2.5614804831778213,0.5,-3.604574921475112,0.5678028317140519,-3.604574921475112,-3.006641752284274,-4.67073186134237,8.1214454250226,10.345458167960809,0.7435808738476014,405,98,0.5409999999999999,0.1376666666666667,0.29000000000000004,0.71,1.0,0.995,4.0,6.875862068965517,4.0,6.0,0.8482758620689655,0.15172413793103448,9.0,8014,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8015,3,-2.8980994571366963,0.5,-3.9381140333065425,0.22194427137284256,-3.9381140333065425,-3.6743813936610117,-6.1778044378161034,8.645161552523039,10.273713880595714,0.6990709267110852,411,94,0.5468333333333333,0.14033333333333334,0.31399999999999995,0.686,1.0,0.995,4.0,6.44375,4.0,6.0,0.85625,0.14375,9.0,8015,14,2,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
